"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","9",-0.00353030845329009,0.00132966520035776,0.00137789509573751,0.000930762914456866,0.00291660812251371,-0.0033054257212113,-0.0027819824594267
"All","10",-0.0010126803745455,-0.00036989961544336,-0.00044065262894616,-3.26776410669784e-05,-0.000143954609891616,-0.00271104579699589,-0.00272325037129131
"All","11",-0.00334048296603455,0.00208632655257301,-0.000466432725452796,0.00452212041970412,0.00276111211153991,-0.0017241200504131,0.000187575640571156
"All","12",0.00238439807743506,0.000221580669224877,0.00308203755903855,0.00208051550699813,-6.76649929646776e-05,0.0028779826409259,0.0045815837768301
"All","1",0.000644593816490462,0.00228525087134978,0.000637991417136725,0.000142255916921193,0.00341796773318042,0.00153526253299862,0.000336701123128024
"All","2",-0.000316940378619315,-0.000543927105583534,-0.000544390925652627,-0.00193294728509238,-0.000528257092193667,-0.000524031883465946,-0.000444196932796574
"All","3",0.000728183068251604,-0.000291793053409701,-0.000276572156321095,0.00151553366886143,-0.000220832292373192,-0.00166924412343606,0.00031251665253191
"All","4",0.00116365364033245,0.00572311132441687,0.00422790377534648,0.00670473746376679,0.00668944015331725,0.00296541650773409,0.00410207937138201
"All","5",0.00359534511958287,0.000752442936334839,0.000341211051322237,-0.000209544530469027,0.00452037989297149,0.00402660066040418,0.00103316858509307
"C","9",0.000452329078671092,-0.00134143671616249,-0.00118573910813756,-0.000120906041494736,-9.38791155005007e-05,-0.00171517884728723,-0.000284388438393302
"C","10",0.00358500226794469,4.29456463843359e-05,8.36371574031898e-06,0.000390379861719726,0.000814817403631093,-0.00169437375870254,-0.000524108010454005
"C","11",0.00688480742435608,0.00879379575582,0.00361548504676391,0.00786076549418467,0.00786293912867811,0.00333655382680455,-0.00110716730421759
"C","12",0.0104896305561361,0.000350783670715588,0.0118174230431784,0.0104879911983372,0.00137911109491742,0.00761931064337488,0.00992056768508958
"C","1",0.00053927087816288,0.00309149778891867,-0.00350862121591559,-0.00543683544761443,0.00743809070457202,0.00431732105217406,0.00226620023769463
"C","2",0.000580765678935872,-0.00217392451519948,-0.00217467618705742,-0.00773520130235889,-0.00211149814108249,-0.00381589349765071,-0.00179210557263854
"C","3",0.00389971246634833,-0.00150535790183605,-0.00151257845606216,0.00571486564460322,-0.0010693716351535,-0.00625427471043981,-0.00022145289734725
"C","4",0.00722590728599253,0.021897613030611,0.0159108234711124,0.0242605095869781,0.0204138706247627,0.0136493250309407,0.0107268189569928
"C","5",0.0159130263837835,0.0100952036271439,0.00781011092030539,0.0129012258295486,0.0283458145174411,-0.0224311230169546,0.00974590502539835
"D","9",0.00115956298533981,0.00689327692799231,0.00688793724463313,0.00276070630839795,0.0111952584205028,-9.06852781631645e-05,0.000907363771531182
"D","10",-0.00318229758559022,-0.000944301634503413,-0.000926880216839848,0.00017012211839586,-0.00151286465706225,-0.0091996193026422,-0.00552563084003977
"D","11",-0.0105545086234701,-0.00276577251571664,-0.00276346476091629,0.00245873879040254,0.00220443957703709,0.00103842813154451,-0.00488520911310981
"D","12",-0.00857080648216881,0.0008166408992351,0.000817639111063242,-0.0025664587158086,-0.00233281116301873,-0.000920656515176294,-0.00125916946620327
"D","1",0.00148061370016451,0.00649636073972689,0.00650647848635657,0.00652819087597264,0.00667258178023033,0.00130332103315343,0.000673990841455921
"D","2",-0.00217265627299739,3.95869150957563e-05,4.03678910731606e-05,4.51056712239302e-05,4.01410164152895e-05,0.00217417393057029,5.4115315472081e-05
"D","3",0.00161425901668063,0.000365248222800307,0.000365515049955043,0.000366252132646306,0.000365484641391306,0.00141373720766659,0.00171101563176207
"D","4",0.000388308624968878,-0.000273735485420866,-0.000291843170152286,0.00168770734305703,0.00314595123137434,-0.0132219205238247,0.00566004691243066
"D","5",-0.00423196234547962,-0.00786700644617259,-0.00788468907004863,-0.0167608459533424,-0.0235037735578107,-0.0358792249343085,-0.00674117663857855
"AN","9",-0.00886692320731378,-0.00111746318241424,-0.00100318576137605,-0.000747105713392391,0.00161870676476781,-0.00597406591276986,-0.00890597350071774
"AN","10",0.000991887654449118,0.00136585474520139,0.000727852530252935,0.0014177795916611,0.000697829556714146,0.000600515568165273,-0.00176763325784189
"AN","11",-0.0115652896888313,0.0149003468233468,0.00246662816268917,0.0152329941693632,0.0140511172255934,-0.0033480129335169,0.0108450412611986
"AN","12",0.0156432206397576,-0.000964798644114992,-0.00102956834355111,-0.000913567372721796,-0.000908105967248596,0.0079288709598145,0.0230913480702826
"AN","1",0.00257953774876348,0.00186730687489923,0.00187087817702034,0.00169251662367856,0.0016743067166166,0.0017043504222954,-0.00392831381752259
"AN","2",-0.000282878325641192,-7.53847274588053e-05,-8.044683429675e-05,-7.49474016960518e-05,-7.56794484172025e-05,-6.56602600498325e-05,-7.54292569819695e-05
"AN","3",-8.41416269363861e-05,-0.000118182494774594,5.11765309082243e-05,-9.52668326052182e-05,-0.000498871470832033,3.64167251991475e-05,1.27303159109423e-05
"AN","4",-0.00159030278628693,0.000331371172126162,0.000391449071256547,0.000336537753491964,0.00802168791054645,0.0189364563211709,0.000337898559085685
"AN","5",0.000236962691700079,-0.00196668752183266,-0.00025170549884299,-0.00349802205118605,0.0183857205548264,0.0698705488236863,-0.000146685326550257
"W","9",-0.00663942015309614,0.000885207924547437,0.000882881907831917,0.00107467750583448,0.00119917782869589,-0.00502357739957906,-0.00444703930738422
"W","10",-0.00304757076305034,-0.000729633157233091,-0.000733615037560203,-0.000680068648716275,-0.000255190439979879,-0.00112811426063305,-0.00291168269073422
"W","11",-0.00398546390723375,-0.00232947724927628,-0.00236418395978949,0.00120511199941669,-0.00233343073498308,-0.00540160495878627,0.000793156622784674
"W","12",-0.00019417060722659,0.00014901612052861,0.000151191803230532,0.000142064448617846,0.000322131975351747,0.000810999853540192,0.000100074007619332
"W","1",-9.82893054201366e-05,5.9551841443019e-05,5.96716746449898e-05,5.90424881645806e-05,0.000126997695741778,5.57463187047185e-05,6.30562622416023e-05
"W","2",1.3890948288245e-06,-1.95214666330883e-06,-1.78730295863248e-06,-1.93396751787393e-06,-1.98834826640987e-06,3.67931472827773e-06,1.12441336857415e-06
"W","3",-0.00124648504788831,5.16617879326589e-05,5.17373151500625e-05,5.19289221796232e-05,5.1688333604389e-05,-0.000871783961028998,5.42508653091193e-05
"W","4",-0.00124605707836087,0.000604875954203996,0.000601717848184967,0.000601066970445393,0.000347370038485306,0.000677818599894669,0.000567599191605798
"W","5",0.000981956444884657,8.95958799975783e-07,-1.7250674036833e-05,0.000599296108815988,0.000669327486747836,0.0218276119656357,-8.62270157931247e-05
