"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
1980,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398,8374.27808522398
1981,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707,8989.15494833707
1982,6068.93596328211,7847.28640573413,7768.78217821478,7759.62410963837,7756.6585343434,7790.17578533517,7826.21654805315,7771.96200833056
1983,2154.57667596357,8245.19240638003,7983.79188429143,7986.50737289403,7979.468857506,7981.07408205564,8130.8099224894,8061.21651664565
1984,1634.3252603129,11183.1402161706,11003.5677179167,11035.7572551845,11028.8364892549,10937.3647171242,11144.8842374168,11148.2464996159
1985,2986.93232242987,13563.3115714677,13996.6726433242,14022.7135293,14014.9555277931,13952.36707562,14131.2332332197,14097.167139063
1986,2682.20236989873,13808.1958111164,14496.7087984753,14552.6822727875,14542.5165752825,14518.6655774577,14730.0060924623,14475.3209712409
1987,1066.40818388095,12995.4712509048,12962.2324025672,13149.889913874,13139.904097952,13048.9493805792,13320.1608673285,12871.2787920491
1988,197.695471542125,13259.3590363853,12725.9250985096,13005.9762629697,12994.6694808877,12854.1658262487,13178.8892456572,12647.7168445954
1989,96.1951884469335,12342.9269969023,11926.789065666,12046.8977648715,12036.3506047403,11953.0459121722,12245.54289359,11750.0625597084
1990,40.1864351672066,8735.28482724842,7847.09339189359,7778.81711752468,7770.40502339468,7765.64823994488,7897.62732187623,7629.18982675828
1991,5.02948866784256,7728.66514102284,5842.29031273429,5870.04384459561,5857.35443264605,5882.24114723825,6009.81845501564,5800.94526179762
1992,3.75139357971485,7669.64129698402,5702.01935985535,5849.49645975303,5863.89294887157,5837.12663531088,6056.50028790254,5710.29716596175
1993,3.0349797279487,4715.61854368596,3627.49589652038,3795.90342888446,3869.31670519943,3767.16921225471,3756.45547384155,3559.40265534503
1994,2.07088289000724,2790.63057484477,2389.55948740283,2136.73307111833,2435.29195415395,2126.40588499325,1490.27785803263,1935.54273570839
1995,3.31878401539873,3587.9802477206,3269.56268170087,2528.05110272706,2999.80788200814,2498.0402901822,1613.22680796513,2457.52679640968
1996,4.54042767599271,4147.79627708421,3664.69991038109,3233.21474466048,3511.54547439324,3205.22237022035,2722.82074781744,3281.14429350505
1997,6.89715893319882,3731.81233819946,3347.88891082788,3247.23431651667,3359.823737888,3231.3596784198,2923.61228454156,3357.9975812224
1998,15.9229564208418,4405.32661426608,4311.01635297616,4240.98911393622,4306.1285139441,4196.51422613338,3931.67860831079,4352.03510878865
1999,33.2195521385672,5467.25531532092,5558.24696288399,5553.47192366229,5563.07678545489,5514.57126932616,5441.29799337789,5550.0904920679
