"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"All","9",-0.00295217989063393,0.000503913734950066,0.000540501588206102,-0.000208605231730258,-2.37305256696141e-05,-0.00249932708743867,-0.00238893778121531,-0.0018258338430425
"All","10",-0.00073926249739702,-0.00057528671479772,-0.000633591723922475,-0.000708233225764976,-0.000770221185529162,-0.00132630098145553,-0.00219096192292439,-0.00223757699950501
"All","11",-0.0029028031465993,0.00102047511008591,-0.000459295906691192,0.00215812927524698,0.00114385659934721,-0.00118915321040361,0.000517903140033131,0.000857516682465603
"All","12",0.00161482937206768,0.00118645611380833,0.00250435706431357,0.00113609310735855,0.000694035215363224,0.00279360095150473,0.00368841385803641,0.00251484385015231
"All","1",0.000222106123921715,0.0021456802655602,0.000748623338964149,0.000321479364651802,0.00300272038430494,0.0016216282738195,0.000377527863482645,0.00169016867733365
"All","2",-0.000451654741915276,-0.000499102829547607,-0.000499556539636955,-0.00216214118172098,-0.000483746149491244,-0.00037328993758473,-0.000393063546275177,-0.00210430976078503
"All","3",0.000877838539828516,-0.000369410990162464,-0.000338512922693078,0.00174551418907831,1.42938840080899e-05,-0.00164387084072295,0.000291870705401254,0.00221776948043414
"All","4",0.000540253211620156,0.00323804304581667,0.0020608827084118,0.00401860904796221,0.00423656369105594,0.000892656019180021,0.00218175541561218,0.0034297269463868
"All","5",0.000490369251026715,-0.00115287874259969,-0.00123354403602096,-0.00129980866556636,-0.000617831717594094,0.001206263909175,-0.000498312975960066,-0.000123742633433636
"C","9",-0.00111738774462804,-0.00265724595056625,-0.00254114524254557,-0.00343701218150223,-0.00293236329506652,-0.000273379744560958,-0.00101402735655814,-0.00224663014292465
"C","10",0.00270875129613955,9.02026414691525e-05,6.53801034203021e-05,-0.00145822102134333,-0.00016227970051238,0.000360521156206542,0.000473564706662594,-0.00132516909331003
"C","11",0.000932653123185343,0.00452270376805024,0.00215407085284929,0.00297550436320175,0.0036276912436091,0.000530624733386298,0.00175885859028785,0.00357275978289808
"C","12",0.00508268535873202,0.00283655365608166,0.00812381988958221,0.00499109381381435,0.00305243447501679,0.00576871296073343,0.00645201863285569,0.00409411721976514
"C","1",-0.000934704236559352,0.00305435117639728,-0.00254381977015965,-0.00418456045925309,0.00651292280413431,0.00434318400289168,0.00230560791433357,0.00569951131213981
"C","2",0.000126073106375363,-0.00213870221946706,-0.00213924577101566,-0.00870279692316269,-0.00207284007771098,-0.00381061026332623,-0.00174110056470538,-0.00856330946086425
"C","3",0.00454378977533827,-0.00183865796217318,-0.00179482281779782,0.0066114590331683,-0.000342107024745253,-0.00639802844045683,-0.000376511452697054,0.0082740933200345
"C","4",0.00455630268568754,0.012283274072257,0.00756968364567175,0.0141637645176237,0.0123065652332323,0.00310079762250246,0.00494699538881704,0.0119610996913164
"C","5",0.0021134330535531,-0.0033609462499021,-0.00370787243568712,-0.00269629881102772,0.00116410335174995,-0.00417130883289192,-0.000962742512689466,0.00163461797270401
"D","9",0.000823751706505286,0.00498722502885148,0.00498217793862114,0.00198890536318034,0.00239786956109592,-0.0012320082633834,0.000634492374000365,0.00488437243007399
"D","10",-0.00225617921412967,-6.61104802466473e-05,-5.45652082878605e-05,0.000359403743239075,-0.00073642374089446,-0.00392456221675199,-0.00361355672658137,-0.0024621890923716
"D","11",-0.00533445627534352,-0.000459289453917093,-0.000457034878597739,0.00192134020085661,0.0031180783926253,0.00257803883800565,-0.0019413706557075,-0.00283036847062471
"D","12",-0.00411017976729871,0.00256582933112138,0.00256642316543989,-0.000390213625572955,-0.000160780865080296,0.00160710206664557,0.000884748937741331,0.000448182825099691
"D","1",0.00131481198497908,0.00594798210433716,0.00595712670305217,0.00595493623294795,0.00600096216182725,0.00171484483189829,0.000678622961788629,0.000656432226355878
"D","2",-0.00225934799812423,0.000235401298969539,0.000236040224297461,0.000124149856445552,0.000230059810252425,0.00272972023520431,0.000261428316774683,0.000236738333485517
"D","3",0.00166815085274547,0.000391601369275196,0.000403151380426442,0.000393324782612698,0.00063757642956438,0.00175511603143278,0.00179653306068751,0.000647629606399429
"D","4",9.3077895946385e-05,-0.00023034892265055,-0.000242303490893598,0.00112213850150276,0.0022686457092387,-0.0099118705480594,0.00370060858982321,-0.00114451982304165
"D","5",-0.000605958059798787,-0.00144668304709822,-0.0014502145814547,-0.0031337825345912,-0.00538981447675877,-0.00626337186351175,-0.0012084341482086,-0.00454946450964102
"AN","9",-0.00612825849534447,-0.000774890875997763,-0.000680669334192909,-0.000617002151908304,-0.00131622783641465,-0.00468316007189517,-0.00657989115682445,-0.00634566197538514
"AN","10",0.000328184731494232,-0.00364534668220603,-0.00417610046303534,-0.00360010959900121,-0.00421327892461479,-0.00423603893704693,-0.00671325430864064,-0.00869577629625366
"AN","11",-0.0137232362217893,0.00501507198295331,-0.00376970288919917,0.00552019383055142,0.00440224463351742,-0.00858383295903556,0.00194394146216789,-0.00607333492644332
"AN","12",0.0123695578167673,-0.000934317933982881,-0.000979916760904177,-0.000890359617529078,-0.000885038735106795,0.00621741414178968,0.0185760526006488,0.0139616803302402
"AN","1",0.00233412145939467,0.00168165669738847,0.00168500704191914,0.00152124345656072,0.001505220447644,0.00156833251620071,-0.0036068097858717,0.00108176625692004
"AN","2",-0.000320303152673839,-0.000106412649726918,-0.000111628968618959,-0.000105961863348305,-0.000106711662222684,-5.94617376814101e-05,-0.000106455466769736,-0.000108187047439017
"AN","3",-8.74290439289857e-05,-0.000122793332278111,5.31405901224881e-05,-9.90134388213899e-05,-0.000518306852627774,5.0316879366483e-05,1.32001076747726e-05,-4.40639470335124e-05
"AN","4",-0.00121649469819192,0.000248371161025098,0.00029139018782592,0.000650605955970893,0.00594217821529926,0.0144655558501039,0.00025968009377068,0.00565410512776962
"AN","5",8.41482792168265e-05,-0.000150087696996411,-6.95094778504376e-05,-0.000505336785763931,0.00112471164988423,0.0165396326409256,-4.11900933091816e-05,0.00324356524945636
"W","9",-0.00494289035494514,0.000551901619522117,0.000550021340349933,0.00069880499133388,0.000802990341550364,-0.00381328022567717,-0.00356443044867047,-0.00356886907189295
"W","10",-0.00221753409298875,-0.000489000282157555,-0.000491959812279037,-0.000123499858769473,-0.000357822138548297,-0.000461970846552825,-0.00203383823447817,-0.00120944430872417
"W","11",-0.00154798083586327,-0.00115473506911602,-0.00117621478171302,0.0010622880527088,-0.00183717660854476,-0.00217543048601924,0.000604742138491606,0.00252852981629748
"W","12",-0.000156526532485812,0.000128406116267885,0.000130298892908842,0.000123747201626563,0.000115020028107244,0.000907994988500766,9.18878244672168e-05,1.29709142436978e-05
