"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1980,29200,30735,30719,31076,31783,31793,30505,2832,32514,30792
1981,53510,53655,53648,52616,53814,52955,54420,8022,56063,53393
1982,79908,81268,81264,81436,81900,81092,80866,20427,80533,81287
1983,75123,78328,78309,78277,80161,78160,78468,10597,71885,78295
1984,61267,64677,64663,64539,66116,62109,64906,1703,66147,63760
1985,73748,79812,79791,78314,82677,77920,79818,676,85977,79126
1986,96225,107606,107615,107330,109691,102787,106010,535,105649,105948
1987,39334,39577,39606,39524,40261,40770,41292,35,45631,41319
1988,30130,36392,36318,35654,37917,34725,36373,13,51086,35975
1989,42254,50538,50536,51093,54655,47757,51114,14,66393,49969
1990,16484,18607,18132,17655,17582,18503,18453,16,22695,18378
1991,9382,11389,10563,11525,11507,10390,11190,1,11740,9367
1992,14034,15007,559,3556,3854,15232,20026,15,21051,20695
1993,14451,14705,14697,14585,14931,14586,14676,21,19115,14499
1994,15848,17456,13547,14292,14774,18423,18343,11,19722,18212
1995,23605,22492,21504,21526,21584,23542,22452,55,23358,22676
1996,28566,29128,29037,28961,28936,29197,29203,97,27939,29186
1997,19363,20658,20650,20594,20578,20879,20628,200,20921,20599
1998,31662,31969,31875,31773,31745,32064,31922,30,31128,32002
1999,22032,22665,21923,21745,21779,22483,22594,253,22905,22597
