"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1980,2525313.8,2658518.4,2657163.2,2687822.3,2749426.8,2752122.8,2639335.8,231042.2,2812986.3,2664251
1981,4618312.8,4631427.1,4630790,4542852,4647561.4,4572320.2,4698551.2,646717.9,4830528.6,4610157.6
1982,6742509.5,6854053.1,6853667.2,6866412.7,6903502.2,6837468.8,6821407.3,1695694.8,6773814.9,6855119.3
1983,6341883.9,6604611.8,6603081.4,6599441.2,6751771.2,6587779.4,6615482,928945.3,6059855.6,6601959.2
1984,5093174.9,5374132.6,5372903,5363667.4,5487830.6,5162956.3,5392669.4,149126.3,5490956.5,5298602.3
1985,6081063.6,6575450.2,6573740.5,6453303.5,6808094.6,6419124.8,6575582.6,59073.4,7068285.1,6521163.2
1986,7925819.9,8839869.5,8840690,8817638.9,9007295.9,8456012.4,8711073,46952.1,8693523.3,8706443.6
1987,3310715.1,3334587.5,3337104.5,3330350.8,3392374.7,3431662.1,3483625.9,3045.8,3839656,3486739.1
1988,2495994.3,3005669.4,2999176.9,2945183.3,3127306.2,2873556.5,3004666.9,1193.2,4199521.4,2971563.3
1989,3522174.4,4194819,4194581.9,4241231.2,4531016.5,3968789,4243046.5,1224.6,5494364.2,4161551.3
1990,1440219.3,1624949.9,1583429.1,1541604.3,1535230.1,1615782.9,1611836.1,1350.2,1958803.4,1605876.1
1991,817815.4,993106,920907.9,1004550.1,1003020.6,905475.9,975656.7,62.8,1024115.6,817029.1
1992,1226027.1,1311162.5,48979.9,311264.5,337362.9,1330357.4,1748731.7,1287.4,1837466.2,1807577.6
1993,1262448.3,1284181.6,1283535.4,1273774.1,1303892.6,1271986,1281892.6,1852.6,1651969.8,1266711.9
1994,1382132.7,1522226.7,1181605.6,1246451.1,1288653.6,1606672.2,1599471.1,973.4,1718480.6,1588077
1995,2067033,1969464.1,1882804.2,1884782.4,1889837.8,2061426.5,1965915.9,4804.2,2045001.1,1985455.8
1996,2501642.7,2550740,2542692.5,2536259.6,2534052.5,2557147.9,2557302.6,8540.8,2446048.3,2555902.8
1997,1693881.7,1807254.8,1806595.4,1801625.1,1800180.7,1826481.6,1804639.5,17561.7,1829847.3,1802033.3
1998,2773500.3,2800343.2,2792085,2783243.4,2780762.8,2808153.1,2796229.8,2637.6,2726170,2803263.4
1999,1897980.9,1949173.5,1889089.3,1874273.1,1876611.2,1932055.4,1943601.2,22240.3,1977969.7,1943029.1
