"WYT","Month","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","9",0.999653330710545,0.999623819145939,0.99965836810098,0.999658733852674,0.999651245381398,0.999653093487554,0.99962834610407,0.999629449614446
"All","10",0.999618963375071,0.999611573566957,0.999613212699976,0.999612629872048,0.999611883741441,0.99961126409804,0.999605705418948,0.999597062104209
"All","11",0.999707123926893,0.999678104397043,0.999717325689266,0.999702532312994,0.999728698899001,0.999718559142804,0.999695235877534,0.999712301441479
"All","12",0.999653748897342,0.999669891599698,0.999665609350362,0.999678783796621,0.99966510589468,0.999660686846391,0.999681675233983,0.999690620264748
"All","1",0.999755021592423,0.99975724210955,0.999776473138625,0.999762505991847,0.999758235598515,0.99978504144025,0.999771233902522,0.999758795946196
"All","2",0.999806742133446,0.999802226458885,0.999801752069706,0.999801747533482,0.999785124900137,0.999801905606829,0.999803009955483,0.99980281225761
"All","3",0.999834809022902,0.99984358595819,0.999831115523234,0.999831424452867,0.99985226128136,0.999834951938129,0.999818373030021,0.999837727247812
"All","4",0.999679012279857,0.999684413077827,0.999711382316595,0.999699614491761,0.999719185471095,0.999721364317919,0.999687935974733,0.999700822830846
"All","5",0.999796452070448,0.999801354764822,0.999784925629683,0.999784119140941,0.999783456629526,0.999790275010856,0.999808512254215,0.999791469954994
"C","9",0.999478089195318,0.999466921149639,0.999451530604266,0.999452691005404,0.999443737011641,0.999448780866688,0.99947535682467,0.99946795421407
"C","10",0.999495711447145,0.999522785300184,0.999496613018679,0.999496364918475,0.999481136590574,0.999494089468498,0.999499314840641,0.999500444706079
"C","11",0.999539356041914,0.999548678276935,0.999584562246033,0.999560886827845,0.999569097379065,0.999575616243609,0.999544659844957,0.999556936525741
"C","12",0.999406742262748,0.999457538962911,0.999435090971234,0.999487932266453,0.999456623590836,0.999437248498694,0.999464395169019,0.999471224171976
"C","1",0.999559850467123,0.999550507538854,0.999590380535175,0.999534423466032,0.999518023280854,0.999624951028565,0.999603263190648,0.999582896398144
"C","2",0.9996893910046,0.99969065134407,0.999668010625407,0.99966800519158,0.999602390067039,0.999668669042251,0.999651296738065,0.999671985406968
"C","3",0.999619791721591,0.999665212343479,0.999601412132699,0.999601850317478,0.999685881174608,0.999616371952063,0.99955583576302,0.999616028038592
"C","4",0.999426227883083,0.999471764767145,0.999548990145803,0.999501881286805,0.999567784260527,0.999549222923775,0.999457218067795,0.999475669452491
"C","5",0.999682530182106,0.99970365780313,0.999648931389597,0.999645463229125,0.999655575753931,0.999694167519947,0.999640830336424,0.999672905813396
"D","9",0.999414323030432,0.999422555722973,0.999464166071692,0.999464115630349,0.999434200435503,0.999438287682273,0.999402010163387,0.999420664238096
"D","10",0.999603342063069,0.999580789220242,0.999602681220499,0.999602796627423,0.999606934674898,0.999595980746743,0.999564112007989,0.999567220829263
"D","11",0.999746327253989,0.999692996223297,0.999741735524542,0.999741758064576,0.999765535782081,0.9997775001282,0.999772101102587,0.99972691847216
"D","12",0.999577804765131,0.999536720320441,0.999603452225633,0.999603458161469,0.999573904276339,0.99957619763529,0.999593869000689,0.999586648519141
"D","1",0.999565803853757,0.999578946264744,0.999625257848892,0.999625349255173,0.999625327359983,0.999625787419429,0.999582944856286,0.99957258713682
"D","2",0.999612777501546,0.999590192770269,0.999615130603009,0.999615136989788,0.999614018519374,0.999615077208805,0.999640064133807,0.999615390772405
"D","3",0.999769657937979,0.999786335604053,0.999773573049649,0.999773688523156,0.999773590279812,0.999776032233668,0.999787205055523,0.999787619130414
"D","4",0.999735668504556,0.999736599037481,0.999733365624214,0.999733246110131,0.999746886923405,0.999758348964903,0.999636575999271,0.99977266480858
"D","5",0.999864648615559,0.999858589855134,0.999850183743193,0.99985014843263,0.999833315031831,0.99981075776598,0.999802023374484,0.999852565909709
