"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1980,-5.17032903150796,-0.182536914312289,-0.236019067550285,0.923148471108011,3.21823043832113,3.25311010347634,-0.932449715149401
1981,0.218583631706696,0.49147792037119,0.477397379678427,-1.4549892049188,0.789180780732456,-0.820023869868984,1.92434056134422
1982,-1.69560200477411,-0.0224612213619428,-0.0281866307287125,0.183213099736631,0.753992371993059,-0.238705528983784,-0.51704850742982
1983,-4.0512302296764,0.0425241999277546,0.0182899784635504,-0.0219479741562604,2.38592769057014,-0.170554049172607,0.222680487793726
1984,-3.91126383344282,1.43738665139443,1.41380452664499,1.22234013284597,3.69509435657296,-2.59010336831349,1.79729479340374
1985,-6.79612529012818,0.865973224506047,0.839731611642227,-1.02523266809337,4.48867312451645,-1.52382331250594,0.873664731724753
1986,-9.17636723039754,1.56515568771224,1.57326530267448,1.30497220767372,3.53275101792563,-2.98400040548075,0.0584568078528105
1987,-4.80093575358489,-4.21522332452454,-4.14330892864879,-4.34258978469003,-2.56119221938223,-1.32738378893558,-0.0649828878395356
1988,-16.2427354509991,1.15934240904387,0.953347663402595,-0.891648754080089,5.40064485311679,-3.4740466523366,1.10659979301011
1989,-15.4389006706024,1.1384478706941,1.13558204848971,2.2496704304465,9.37983607496991,-4.42626239468103,2.29194130796125
1990,-10.3013655932831,1.25065747180176,-1.33637231410594,-3.93119435840492,-4.3266514717628,0.683770673835544,0.4149377593361
1991,0.149048383398303,21.5852633188107,12.760834670947,23.0260643583276,22.8426201941451,10.9187495222808,19.4641901704502
1992,-32.1904893701673,-27.4905291563597,-97.2979985815358,-82.8175543600477,-81.374872424709,-26.4007334498089,-3.23652026501064
1993,-0.325933973678362,1.4222573396874,1.36793501074101,0.59507642164004,2.98278969851107,0.600014815180622,1.22472159806415
1994,-12.9793800247676,-4.15348023509524,-25.6186975409353,-21.5281190415348,-18.8764177461522,1.15385371415092,0.717472922768463
1995,4.10173826552361,-0.805191114479231,-5.16585358152165,-5.06638879679187,-4.81220101359352,3.82544719682976,-0.983596204550119
1996,-2.12570222996345,-0.199936216667076,-0.515173073620685,-0.769079802762309,-0.85616858425533,0.0355714741309521,0.0564237175870275
1997,-5.99603740136953,0.290242969863395,0.253745350898537,-0.0225937641211026,-0.102540929472696,1.3643157565435,0.144252494003963
1998,-1.06275869784092,-0.104038483051796,-0.398254838348809,-0.714845060968788,-0.803221836894507,0.193533952343663,-0.250587314017228
1999,-2.50312891113892,0.301009172858478,-2.98474358771249,-3.77053595475357,-3.61844710951981,-0.503794299836821,-0.0142583292406648
