"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
1980,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981
1981,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289
1982,6456.23214605793,8234.58258850995,8156.0783609906,8146.92029241419,8143.95471711922,8177.47196811099,8213.51273082897,8159.25819110638
1983,2541.87285873939,8632.48858915584,8371.08806706725,8373.80355566985,8366.76504028182,8368.37026483146,8518.10610526522,8448.51269942147
1984,2021.62144308872,11570.4363989464,11390.8639006925,11423.0534379603,11416.1326720308,11324.6608999001,11532.1804201926,11535.5426823917
1985,3374.22850520569,13950.6077542435,14383.9688261,14410.0097120758,14402.2517105689,14339.6632583959,14518.5294159955,14484.4633218388
1986,3069.49855267455,14195.4919938922,14884.0049812511,14939.9784555633,14929.8127580583,14905.9617602335,15117.3022752381,14862.6171540167
1987,1453.70436665677,13382.7674336806,13349.528585343,13537.1860966498,13527.2002807278,13436.245563355,13707.4570501043,13258.5749748249
1988,584.991654317945,13646.6552191611,13113.2212812855,13393.2724457455,13381.9656636635,13241.4620090245,13566.1854284331,13035.0130273712
1989,483.491371222754,12730.2231796781,12314.0852484418,12434.1939476473,12423.6467875162,12340.342094948,12632.8390763658,12137.3587424843
1990,427.482617943027,9122.58101002424,8234.38957466941,8166.1133003005,8157.7012061705,8152.9444227207,8284.92350465206,8016.4860095341
1991,392.325671443663,8115.96132379866,6229.58649551011,6257.34002737143,6244.65061542187,6269.53733001407,6397.11463779146,6188.24144457344
1992,391.047576355535,8056.93747975984,6089.31554263117,6236.79264252885,6251.18913164739,6224.4228180867,6443.79647067836,6097.59334873757
1993,390.331162503769,5102.91472646178,4014.7920792962,4183.19961166028,4256.61288797525,4154.46539503054,4143.75165661737,3946.69883812085
1994,389.367065665828,3177.92675762059,2776.85567017865,2524.02925389415,2822.58813692977,2513.70206776907,1877.57404080845,2322.83891848421
1995,390.614966791219,3975.27643049642,3656.85886447669,2915.34728550288,3387.10406478396,2885.33647295802,2000.52299074095,2844.8229791855
1996,391.836610451813,4535.09245986003,4051.99609315691,3620.5109274363,3898.84165716906,3592.51855299617,3110.11693059326,3668.44047628087
1997,394.193341709019,4119.10852097528,3735.1850936037,3634.53049929249,3747.11992066382,3618.65586119562,3310.90846731739,3745.29376399822
1998,403.219139196662,4792.6227970419,4698.31253575198,4628.28529671204,4693.42469671992,4583.8104089092,4318.97479108661,4739.33129156447
1999,420.515734914388,5854.55149809674,5945.54314565981,5940.76810643811,5950.37296823071,5901.86745210198,5828.59417615371,5937.38667484372
