"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
1980,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0
1982,-1.55747200411893,-0.115845025099755,-0.154460033466341,0.270305058566096,0.733685158965118,-0.0643583472776419,-0.746556828420646,0.0386150083665851
1983,-2.85571142284569,0.0375751503006012,-0.062625250501002,-0.0375751503006012,1.84118236472946,-0.32565130260521,-0.814128256513026,0.964428857715431
1984,-1.31770265358052,0.290803344238459,0.227190112686296,-0.608869501999273,1.28135223555071,-0.481643038894947,0.145401672119229,1.30861504907306
1985,-1.47888833321426,0.185754090162178,0.128598985496892,-0.32149746374223,0.957348003143531,-0.385796956490677,-0.257197970993784,0.714438808316068
1986,-2.71090570462854,0.386286817962337,0.317307029040491,0.151755535628061,1.60722908187901,-0.648410015865351,-1.6555149341243,-0.151755535628061
1987,-4.10430489122049,1.45039345779972,1.37324486961889,0.671192717173276,2.76191945687394,-1.71269865761457,-2.45332510415059,-0.70205215244561
1988,-6.7028131384567,2.2002200220022,2.11378280685211,1.00581486720101,3.55964167845356,-2.8995756718529,-2.61669024045262,-0.612918434700613
1989,-8.04896453425002,1.00612056678125,0.913892848159638,0.217992789469271,2.67460384002683,-3.23635448981303,-3.50465330762136,-1.48402783600235
1990,-9.20096852300242,-0.866573212692749,-0.981266726137377,-1.03224162100166,0.649929909519562,-3.2114183764496,-3.95055435198165,-2.77813177010322
1991,-14.4984594317015,0.479287915097569,0.256761383087984,0.684697021567956,2.87572749058542,-4.43341321465252,-4.91270112975009,-0.701814447107155
1992,-16.1171518765345,2.57804279200281,2.8411083830235,2.36759031918625,6.22588565415644,-4.85794458084882,-5.4542265871624,0.14030164854437
1993,-12.4069478908189,4.6594982078853,6.67218086572925,3.85993934381031,3.55665839536807,-1.21312379376895,-0.716845878136201,-1.87482768127929
1994,-14.4769874476987,-10.5857740585774,1.88284518828452,-11.0460251046025,-37.6569037656904,-4.35146443514644,3.51464435146444,-18.9958158995816
1995,-16.7278287461774,-22.6911314984709,-8.25688073394496,-23.6085626911315,-50.6727828746177,-12.3853211009174,-0.244648318042813,-24.8318042813456
1996,-9.5225102319236,-11.7871759890859,-4.17462482946794,-12.5511596180082,-25.7025920873124,-7.36698499317872,2.07366984993179,-10.4774897680764
1997,-2.1505376344086,-3.01672640382318,0.3584229390681,-3.49462365591398,-12.6642771804062,1.16487455197133,3.25567502986858,0.29868578255675
1998,1.22941312920436,-1.62375318951519,-0.115982370679657,-2.64439805149617,-8.79146369751798,3.08513106007887,0.603108327534215,0.951055439573185
1999,-1.36739834472832,-0.0899604174163368,0.0899604174163368,-0.773659589780497,-2.10507376754228,0.863620007196833,-0.467794170564951,-0.143936667866139
