"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1980,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0
1982,-1.55747200411893,-0.115845025099755,-0.128716694555284,0.270305058566096,0.746556828420646,-0.0643583472776419,-0.244561719655039
1983,-2.85571142284569,-0.0501002004008016,-0.0751503006012024,0.0375751503006012,1.90380761523046,-0.32565130260521,0.187875751503006
1984,-1.31770265358052,0.181752090149037,0.163576881134133,-0.481643038894947,1.34496546710287,-0.481643038894947,0.672482733551436
1985,-1.47888833321426,0.135743373580053,0.121454597413732,-0.250053582910624,1.00735871972566,-0.385796956490677,0.20718725441166
1986,-2.71090570462854,0.324205007932676,0.310409050148307,0.213837345657722,1.66241291301649,-0.648410015865351,0.289715113471753
1987,-4.10430489122049,0.802345317080697,0.78691559944453,0.239160623360593,2.76963431569202,-1.71269865761457,0.925783058170035
1988,-6.7028131384567,0.935093509350935,0.919377652050919,0.0392896432500393,3.4967782492535,-2.8995756718529,0.691497721200691
1989,-8.04896453425002,0.18445543724323,0.176071099186719,-0.251530141695313,2.62429781168777,-3.23635448981303,0.134149408904167
1990,-9.20096852300242,-1.18516630559449,-1.21065375302663,-1.52924684592838,1.15967885816235,-3.2114183764496,0.101949789728559
1991,-14.4984594317015,-0.479287915097569,-0.564875042793564,-1.30092434097912,4.36494351249572,-4.43341321465252,0.872988702499144
1992,-16.1171518765345,1.24517713083129,1.4030164854437,0.894423009470361,7.27814801823921,-4.85794458084882,1.61346895826026
1993,-12.4069478908189,4.05293631100083,3.69451337193273,3.88751033912324,7.55445271574304,-1.21312379376895,4.05293631100083
1994,-14.4769874476987,-0.96234309623431,-31.6317991631799,-22.8451882845188,-22.3430962343096,-4.35146443514644,4.35146443514644
1995,-16.7278287461774,-9.75535168195719,-51.8348623853211,-41.6207951070336,-39.9082568807339,-12.3853211009174,-1.03975535168196
1996,-9.5225102319236,-5.34788540245566,-26.9031377899045,-22.7012278308322,-20.6548431105048,-7.36698499317872,-0.709413369713506
1997,-2.1505376344086,-1.04540023894863,-10.3345280764636,-9.40860215053763,-7.79569892473118,1.16487455197133,0.388291517323775
1998,1.22941312920436,-0.881466017165391,-7.0285316631872,-6.61099512874043,-6.07747622361401,3.08513106007887,-0.324750637903039
1999,-1.36739834472832,-0.0719683339330695,-1.56531126304426,-1.74523209787693,-1.6552716804606,0.863620007196833,-0.107952500899604
