"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"All","9",-0.263129583178711,-0.00685762504172089,-0.000135989138046858,-0.0382650582443237,-0.0229620508638767,-0.159650313513462,-0.147207088373877,-0.208528512336696
"All","10",-0.0362648454831547,-0.0309620156638574,-0.0142946076253215,-0.0899074158204168,-0.0374320223766173,-0.122316599268857,-0.12897146903574,-0.153929335090323
"All","11",-0.120308926930372,0.074744274340785,-0.0117469478974365,0.151811506280808,0.138399913693119,-0.0750001907514127,0.0548519281022308,0.0889770886168481
"All","12",0.173852393001287,0.0290162607211243,0.0840866241594001,0.0229816468452912,0.00675268959893337,0.0927479799708717,0.0791327591726448,0.0648318963052873
"All","1",-0.0198039165265715,0.0672663464765821,-0.0218603174299172,-0.0619637355501388,0.0609772091016421,0.0959989390991112,0.039882905109791,0.0528865332651855
"All","2",0.00310467508365258,-0.00986054824900042,-0.0136466607158273,-0.0427942817958412,-0.0174978538739385,0.0109019471300768,-0.00084584476989804,-0.0497132838601328
"All","3",-0.0139083456614463,-0.00602877317538695,-0.00429396936801016,0.011891098867692,-0.00330641966653405,0.0456509334471173,-0.000882270253056837,0.0195961599480886
"All","4",0.186299720500793,0.200617693630642,0.115476408500452,0.196811743326885,0.293035373565081,0.312193610625146,0.138728288551553,0.204236734106125
"All","5",0.0938219155772535,0.0793808285296201,0.0843169180993535,0.0597891259382751,0.121655007102058,0.144884125592522,0.070993286714944,0.127262669682533
"C","9",-0.382287539635007,-0.117062531961697,-0.0908792710032369,-0.213260007209144,-0.147474008522725,-0.00607758970454072,-0.171995088990412,-0.275740139348936
"C","10",0.316716589200187,0.261258721911433,0.295200944317763,-0.0111938595492807,0.174730671369547,-0.121502910665898,0.00506306556393761,-0.0185697762551282
"C","11",0.125015093988961,0.373873154586828,0.0511567864165714,0.477565863576243,0.502386168410529,-0.0444523482530254,0.203636961269814,0.419853717942358
"C","12",0.476957942696587,0.0310104967961687,0.256064781909548,0.101410521552457,0.0541348257011635,0.092204287161083,0.0663895481149778,-0.00374650215099953
"C","1",-0.167443119827705,0.228558683612254,-0.132902604042409,-0.297366379061805,0.195207019664881,0.211670176184007,0.203477253497295,0.197580465914276
