"Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1980,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0
1982,-1.4835703776361,-0.110348209906817,-0.147130946542423,0.25747915644924,0.711132908288377,-0.0613045610593428,-0.711132908288377
1983,-2.72368892605423,0.0358380121849241,-0.0477840162465655,-0.0358380121849241,1.75606259706128,-0.310596105602676,-0.77649026400669
1984,-1.27293477306646,0.280923536125011,0.219471512597665,-0.579404793257835,1.23781933105083,-0.465279606707049,0.140461768062505
1985,-1.4321468298109,0.180756395995551,0.125139043381535,-0.305895439377086,0.938542825361513,-0.368464961067853,-0.25027808676307
1986,-2.64041924213921,0.376242945444773,0.309056705186778,0.147809728567589,1.56543939801129,-0.631550658425154,-1.61246976619188
1987,-3.99250936329588,1.40074906367041,1.32584269662921,0.644194756554307,2.67415730337079,-1.66292134831461,-2.38202247191011
1988,-6.50499504308701,2.13528559444826,2.05139937466636,0.976130557462061,3.45458705101807,-2.8140013726836,-2.53946465339739
1989,-7.79600454766932,0.974500568458665,0.893292187753776,0.211141789832711,2.59054734448595,-3.13464349520871,-3.39451031346435
1990,-8.75637600194316,-0.825844061209619,-0.923002186057809,-0.983726014087928,0.619383045907214,-3.060480932718,-3.76487733786738
1991,-13.6115569823435,0.43338683788122,0.240770465489567,0.642054574638844,2.68057784911717,-4.15730337078652,-4.62279293739968
1992,-15.0927902775497,2.43061258006241,2.66053539168993,2.21711282640828,5.8301855805551,-4.54918705863032,-5.10757102972573
1993,-11.2328767123288,4.18430884184309,6.02739726027397,3.46201743462017,3.21295143212951,-1.0958904109589,-0.672478206724782
1994,-12.4594886568239,-9.11055095426719,1.65646380986676,-9.4706517824991,-32.3730644580483,-3.74504861361181,3.024846957148
1995,-14.9576155318567,-20.2898550724638,-7.383100902379,-21.1101996171725,-45.2830188679245,-11.0746513535685,-0.218758545255674
1996,-8.5883514313919,-10.6367226061204,-3.77591312931886,-11.3277393879566,-23.2477788746298,-6.66337611056269,1.8756169792695
1997,-1.92771084337349,-2.67737617135207,0.321285140562249,-3.10575635876841,-11.3520749665328,1.07095046854083,2.94511378848728
1998,1.14942528735632,-1.48999574286931,-0.106428267347808,-2.42656449553001,-8.06726266496382,2.83099191145168,0.553426990208599
1999,-1.27817019845274,-0.0840901446350488,0.067272115708039,-0.739993272788429,-1.96770938446014,0.807265388496468,-0.437268752102254
