"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
1980,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981,8761.57426799981
1981,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289,9376.45113111289
1982,6456.23214605793,8234.58258850995,8156.0783609906,8146.86938966167,8146.33175927238,8176.93988065827,8214.74667312907
1983,2541.87285873939,8632.48858915584,8371.08806706725,8367.08736994657,8365.65084476797,8374.69281494443,8523.10030190317
1984,2021.62144308872,11570.4363989464,11390.8639006925,11410.9158764015,11409.5120623643,11338.7519635519,11539.6182541433
1985,3374.22850520569,13950.6077542435,14383.9688261,14402.7981530903,14401.5131685428,14349.7765814942,14525.7069710728
1986,3069.49855267455,14195.4919938922,14884.0049812511,14931.1091694466,14929.0886240726,14915.4391899269,15125.0702960259
1987,1453.70436665677,13382.7674336806,13349.528585343,13453.6987851914,13451.119955118,13380.5058651845,13708.1692677754
1988,584.991654317945,13646.6552191611,13113.2212812855,13232.1497174623,13229.8393229314,13118.1015890341,13557.9574248996
1989,483.491371222754,12730.2231796781,12314.0852484418,12335.9593523481,12335.7868066164,12283.8618605113,12627.3598093091
1990,427.482617943027,9122.58101002424,8234.38957466941,8140.93442238584,8139.51567859252,8114.20374353629,8325.2630984054
1991,392.325671443663,8115.96132379866,6229.58649551011,6201.23934849024,6195.81429210261,6153.73076774526,6483.99545094053
1992,391.047576355535,8056.93747975984,6089.31554263117,6159.89907752783,6169.14703931272,6140.41123656474,6504.46366008587
1993,390.331162503769,5102.91472646178,4014.7920792962,4161.39466601555,4148.10503656425,4155.2039135024,4288.47636076582
1994,389.367065665828,3177.92675762059,2776.85567017865,2753.85205257972,2021.25771072932,2231.45418150291,2243.4244537805
1995,390.614966791219,3975.27643049642,3656.85886447669,3338.28037360623,1962.28013071629,2296.5552098624,2352.18322121818
1996,391.836610451813,4535.09245986003,4051.99609315691,3856.13841523066,3066.01853159877,3219.90774778359,3295.22796529457
1997,394.193341709019,4119.10852097528,3735.1850936037,3700.41345708063,3389.7820379174,3420.74155933876,3474.17446147657
1998,403.219139196662,4792.6227970419,4698.31253575198,4660.66965164912,4395.48725597294,4413.44702692667,4435.81887662256
1999,420.515734914388,5854.55149809674,5945.54314565981,5940.9140329343,5858.5181359071,5848.45156878487,5853.45008980119
