"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"All","11",0.912036618336657,0.920502441373127,0.919453463606752,0.919635659502179,0.919934695663196,0.920325400346851,0.920259955139625
"All","12",0.921697785720931,0.922742125131667,0.920124340366603,0.920342764905914,0.920302666765657,0.919977490261066,0.920079627026233
"All","1",0.923689865235633,0.923792823936607,0.9228574643945,0.923449164099242,0.922698630862247,0.92256604063604,0.922610585508419
"All","2",0.930705974471972,0.92988266100069,0.929527957594743,0.929445114440748,0.929671445667912,0.929506678431726,0.929428110981204
"All","3",0.93178920856427,0.930379300313355,0.929876376779782,0.929835071153084,0.929796262480834,0.929806845597683,0.929852779822049
"All","4",0.926427683263137,0.92220101003852,0.922342041197126,0.923112093709387,0.923630438748407,0.923625295485722,0.924221886809887
"All","5",0.913332266791789,0.91734281343655,0.918825151046386,0.919423044092239,0.91943322354327,0.919250460988363,0.919702976391286
"C","11",0.898682091275146,0.915716811789282,0.910783451302022,0.911510207375991,0.91261847226603,0.913565580308341,0.913496332582019
"C","12",0.913487266730767,0.915582080576586,0.911884776131952,0.912158393524829,0.911976707192907,0.911427162667667,0.91177187460466
"C","1",0.913231602698562,0.915208415082866,0.915726594537638,0.917882396023622,0.914861816499692,0.914291154844251,0.914457851284523
"C","2",0.926071362392472,0.925056474431684,0.925830178580927,0.925577155451099,0.926463390419783,0.925647867501818,0.925614386831638
"C","3",0.927098728634756,0.923752852947738,0.924186203401551,0.924052881364967,0.924118556878703,0.924112544954615,0.9242334613678
"C","4",0.917871640464554,0.913080207237988,0.912138522241352,0.915103739383719,0.91721852449508,0.916904276189637,0.917802437741868
"C","5",0.901127061482134,0.909345260257029,0.909607062955199,0.911999959449937,0.912056054378289,0.91205777581879,0.913386564720778
"D","11",0.912533338360344,0.920885787787473,0.920510135681502,0.920049396272693,0.920048608240175,0.921153377811914,0.921114949116077
"D","12",0.918984087273896,0.919061060160399,0.917369923238402,0.91810524083945,0.918114248612637,0.917204611043277,0.917223563181431
"D","1",0.917762308141447,0.916585141379484,0.91433696678973,0.914597958651689,0.914615185527428,0.914652078760934,0.914676223783762
"D","2",0.926966927811818,0.92461274404636,0.923168104476409,0.923084484795209,0.92310807707795,0.923304377737435,0.922953910269653
"D","3",0.931008784895001,0.929794671189581,0.927542050455892,0.927551856473627,0.927549194207706,0.927543465800892,0.927616059823052
"D","4",0.923290899016174,0.917330564748437,0.91923388404957,0.919276289787996,0.919274821703643,0.919608895451414,0.92124510446149
"D","5",0.893859101185308,0.909643360262578,0.91738034359863,0.917210640745604,0.917210657420341,0.916503362043135,0.916645523482551
"AN","11",0.899620089802224,0.914060281887496,0.915916607272981,0.917454519463497,0.917552298139382,0.917828213195275,0.917860661022691
"AN","12",0.920187915281985,0.924129659259383,0.917294979022198,0.917152284696555,0.917165563884847,0.917181926047868,0.917188395842025
"AN","1",0.930750051302722,0.930435995424237,0.928142395588674,0.928312478644481,0.92830782635161,0.928333758677771,0.928338941080547
"AN","2",0.934514497425995,0.93436623468811,0.933844543626438,0.933831735448492,0.933832363392004,0.933834368994794,0.933835494102559
"AN","3",0.935063111204792,0.934823956583946,0.934386871800805,0.934283188494523,0.933736292187165,0.933868068211556,0.933891174594943
"AN","4",0.931335494618089,0.92736305321563,0.926814078898783,0.926776555611569,0.926677012989073,0.926721661026158,0.927320288094988
"AN","5",0.92562026059055,0.921193317444957,0.920952328348163,0.920871558571265,0.920834328726114,0.920669389354149,0.921787281014276
"W","11",0.921994264145731,0.924422339287915,0.92458647315033,0.924450614349539,0.924478058077146,0.924267796417456,0.924170702374747
"W","12",0.927800800122803,0.928047615621116,0.926554808408256,0.926593088638135,0.926597964125373,0.926581299512682,0.926606902565733
"W","1",0.930565550672069,0.930289094105712,0.929431517429504,0.929394945552334,0.929398571103728,0.929398800677808,0.929393297383292
"W","2",0.934096219041979,0.933909711365968,0.933449639314636,0.933446122386848,0.933446102907058,0.933445331354012,0.933444850686908
"W","3",0.934014351791336,0.933332793733577,0.933072730351411,0.933073690372588,0.933073678224224,0.9330737986171,0.933071300124431
"W","4",0.931484541959899,0.928285644350606,0.928398279859991,0.928451656321558,0.928451426633336,0.928456180545364,0.928422728161385
"W","5",0.926037011389198,0.924352210167293,0.924115741673431,0.92420837827446,0.924208101315595,0.924152012643608,0.924107783140341
