"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
"All","11",0.999764261405729,0.999773347641565,0.999835746206977,0.999838578864415,0.999830992487508,0.99984598716849,0.999839401518289,0.999839580298229
"All","12",0.999745056887662,0.999737670594869,0.99969670727922,0.999700019851451,0.999706902009456,0.999701332501755,0.999697494600726,0.999709475259811
"All","1",0.999760517217834,0.999717913137078,0.99971945766433,0.99973045347014,0.999723138526918,0.999721022326712,0.999735021045438,0.999728134584339
"All","2",0.999865171327986,0.99981471073609,0.99982562751217,0.999822803172972,0.999822800328848,0.999814872525566,0.999822886591537,0.999815107365928
"All","3",0.999941367242515,0.999889190311857,0.999893379240796,0.999891716089586,0.999891827546219,0.999901778149033,0.999892614332366,0.999903369815277
"All","4",0.999904081398359,0.999806253907147,0.999833212021848,0.999849112987172,0.999843693244355,0.99985289836952,0.99985241930321,0.999848589244601
"All","5",0.999854095837572,0.999868018071636,0.999899102491503,0.999893463443451,0.999893090067619,0.999893173631921,0.999894291899408,0.999896303501628
"C","11",0.999618528872661,0.999722724787553,0.999755454549579,0.999772406756463,0.999760062643159,0.999768885134,0.999767527106639,0.999772655061699
"C","12",0.999530441108736,0.999550080505857,0.999492381921705,0.999500155026324,0.999527757861998,0.999517103185567,0.999501380855624,0.999512441846997
"C","1",0.999623963191132,0.999575641178282,0.999595869482397,0.999610961833762,0.999581655954012,0.999573532980871,0.999629386272068,0.9996250814961
"C","2",0.999775313396396,0.999696867828396,0.999758282847981,0.999746685643419,0.999746680378896,0.999715149678492,0.999747019898616,0.999715863276643
"C","3",0.999889880190507,0.999764551828427,0.99979570905233,0.999787207718539,0.9997872523143,0.999827397852534,0.999791205484695,0.999833190406603
"C","4",0.999789126219056,0.999713410788233,0.999720328356508,0.999780507410964,0.999758813756918,0.999789768463452,0.999775480758132,0.999774639945267
"C","5",0.999790725175393,0.999845372679524,0.999853303765241,0.999836824218591,0.999835207504633,0.999840445121786,0.99985264623612,0.999854697335534
"D","11",0.999788710830118,0.999781490611799,0.999857288680604,0.999849537011589,0.999849548131873,0.999867207895375,0.999868037866163,0.999843098769517
"D","12",0.999743330618747,0.999698567084168,0.999681314020269,0.999688944509321,0.999688947159714,0.999674264403981,0.999674808958519,0.999683468807586
"D","1",0.999679631096119,0.999583800581778,0.999579484393624,0.999610618992089,0.999610666803727,0.999610675871589,0.999610901060891,0.999582919780176
"D","2",0.999832586694394,0.99972655131603,0.999724168563645,0.999724846188392,0.999724850324959,0.999724611598678,0.999724846677907,0.999724882473648
"D","3",0.999945161253839,0.999890094056363,0.999857355601081,0.999859357427777,0.999859395403686,0.999859364257072,0.999859891024637,0.999859929010514
"D","4",0.999882690006403,0.999759251459904,0.999862429933671,0.999861201629241,0.99986114008619,0.99986818571337,0.99987191998155,0.999854246941899
"D","5",0.999737183497545,0.999858599210504,0.999932510116499,0.999925528215258,0.999925510666753,0.999917981802159,0.999904113744325,0.999907240194869
"AN","11",0.999699163046873,0.999717424047878,0.999846318333713,0.999874349340975,0.999829774805269,0.999876049885863,0.99987118556516,0.999816081433226
"AN","12",0.999782128861788,0.999822893522901,0.999694870283183,0.999690346553734,0.99969011208385,0.999690575505779,0.99969060423675,0.99976789550374
"AN","1",0.999789066003608,0.999772136610729,0.999743362530674,0.999752018997027,0.999752036074154,0.999751175198044,0.999751088188351,0.999748859719541
"AN","2",0.999918041503036,0.999910421188626,0.999900571131366,0.999900013570149,0.999899985982172,0.99990001595307,0.999900011974082,0.999900004158936
"AN","3",0.999976341819767,0.999974461480084,0.999973774849188,0.999973129140876,0.999974054415044,0.999973254298353,0.999971049302117,0.999973543216601
"AN","4",0.999980844694067,0.999851060131975,0.999836592515105,0.999837880012038,0.999838090285701,0.999838619631062,0.999866012431738,0.99986561145
"AN","5",0.999922247296309,0.999828881318337,0.999867195547274,0.99986643221685,0.999866841148077,0.99986652074641,0.999874645183769,0.999883555450156
"W","11",0.999848823815229,0.999810279816731,0.99986842888909,0.999862521864186,0.999862421599592,0.999872709594064,0.999859541359735,0.999880419190174
"W","12",0.999856816890112,0.999840328220624,0.999817471036493,0.999818127861405,0.999818137563619,0.999818102831086,0.999818060380981,0.999817514413713
"W","1",0.999865985778815,0.99984450903351,0.999845015915419,0.999845305141286,0.999845305711676,0.99984530308305,0.999845300992017,0.999845320627389
"W","2",0.999917825532677,0.999898091993161,0.999891479942909,0.999891469260941,0.999891470157588,0.999891469313113,0.999891469075319,0.999891476969209
"W","3",0.999960512804764,0.999939083101043,0.999945785272397,0.999946066134018,0.999946066545338,0.999946067565888,0.999946066280118,0.999946071310808
"W","4",0.999960394162016,0.999868766455357,0.999882188209947,0.999884350683065,0.99988433946515,0.999884349217504,0.999883475275984,0.999883374944233
"W","5",0.999926118032409,0.999893482061822,0.999916788827036,0.999916685609037,0.999916670985117,0.99991736425867,0.999917429051414,0.999917390186121
