"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1981,0.370014485063175,0.043024940123625,0.04015661078205,0.182138913190012,0.60234916173075,1.40834970671332,0.0760107275517375
1982,0.379988866568241,0.152479608877702,0.151672838460359,-0.0274301941896395,0.079063500899549,0.715605360182653,0.175069180563287
1983,0.0577343675709453,0.0135845570755166,0.0129053292217407,0.0380367598114464,0.0441498104954288,0.0285275698585848,0.0183391520519473
1984,0.0671389227628352,0.0226080046038118,0.0205527314580108,-0.0232930956524122,-0.0411054629160215,0.504912102818465,0.0294589150898154
1985,-0.423728813559322,-0.0494350282485876,-0.0529661016949153,-0.271892655367232,0.105932203389831,1.29237288135593,-0.067090395480226
1986,0.578897587546864,0.410242384875731,0.4068236983351,0.404544573974679,0.703109865189794,1.99765250190877,0.435312752840359
1987,-0.960891119407552,0.134647163229084,0.146887814431728,0.130566946161536,0.475345288369341,1.07921741436644,0.0469224962768019
1988,-3.39793391957654,0.160078545206181,0.160078545206181,0.153675403397934,0.548535814906514,-0.789720823017161,0.134465977973192
1989,0.727743187515161,-0.0781650090294062,-0.0242581062505054,0.93528476321393,-0.0431255222231207,1.22368669308105,0.878682515296084
1990,0.294827124095417,1.12868161648649,1.1137913576938,1.12272551296942,1.93573364305072,4.93463176390006,1.20015485869144
1991,3.12306217937877,1.39804949546198,4.65640678730481,1.70528214668245,2.15908450307233,2.07170640960595,0.910423360956085
1992,0.53639846743295,0.178109143626385,1.12457284871078,-0.389354872113493,-0.0207103655379517,0.77663870767319,0.244382313347831
1993,-0.322003039467943,-0.0767390421161919,-0.597360778826043,-0.469462375299057,-0.290404610361275,0.806512285770174,-0.070720293714922
1994,0.173888523357458,0.474668671867657,0.592160917379453,0.50756650061096,1.09032803834947,3.24278597612558,0.427671773662938
1995,0.241829282892374,0.0299293666946007,0.363941099006345,0.0646474320603376,0.378307195019753,1.27977971986113,0.14844965880522
1996,0.880962340444411,-0.0494352968019166,-0.0481677250890469,-0.0722515876335704,-0.0126757171286966,1.7669949677403,-0.0646461573563524
1997,-0.0666313577420512,0.109343766551058,0.168286890707488,0.246023474739881,0.35536724129094,0.855102424356324,0.137533956365003
1998,0.30171927968857,0.0719617822245728,0.226289459766428,0.127450385385689,0.303453298537355,1.34559862665707,0.155194686966247
1999,0.0578232400560315,0.00570088282242564,0.0521223572336059,0.0219891194579275,0.0594520637195817,0.829885656578819,0.0187314721308271
2000,-0.00261941246578392,0.163713279111495,0.221340353358742,0.250153890482365,0.619491048157898,2.26317237043731,0.166332691577279
