"WYT","Month","Act5","Alt2wTUCPwoVA","Alt2woTUCPAllVA","Alt2woTUCPDeltaVA","Alt2woTUCPwoVA","EXP1","EXP3","NAA"
"All","11",0.0218594135939169,0.0218538949105129,0.0218475980020449,0.021875213503109,0.0218769988536284,0.0219241189362192,0.0219878983966643,0.0219147815122085
"All","12",0.022070687128915,0.0220734516052454,0.0220737587038077,0.0220753403189275,0.0220723199628907,0.0221050286574129,0.0220640503357598,0.0220658012989053
"All","1",0.0221050638310987,0.0221031144379604,0.0221040090977796,0.0221025880403142,0.0221028603148829,0.0221162186336597,0.0221002687294353,0.0221060623404377
"All","2",0.0204905313316554,0.020491266472774,0.0204912444310128,0.0204913457980133,0.0204912908544222,0.020502149167592,0.0204860727436417,0.0204935743973259
"All","3",0.0203570292909302,0.0203642138778646,0.0203633919803566,0.0203664723886486,0.0203637368025057,0.0203831962284241,0.0203369443521051,0.0203575264965323
"All","4",0.0193125928723783,0.0193734888156252,0.0193665172428835,0.0193954732977505,0.0193723305895653,0.0192199490478232,0.0188789153786035,0.0191769077364606
"All","5",0.0190649823978129,0.0190586818149285,0.0190498757407248,0.019075230468414,0.0190592347223827,0.0130918572464414,0.018656486409495,0.0186848818033112
"C","11",0.0218222814669791,0.021833457576978,0.021773293682927,0.0218840207973172,0.0219072846358239,0.0219702270325957,0.0220036412194024,0.0217977943791999
"C","12",0.0220755530798675,0.0220794554962987,0.022077320606708,0.0220809968445688,0.0220775468448242,0.0221073534085702,0.0220526248156472,0.0220560016208694
"C","1",0.0220999083294467,0.0220928053124733,0.0220964890613312,0.0220918773966032,0.0220922512998815,0.0221161825788504,0.0220917901017334,0.0220991167863148
"C","2",0.020480177158635,0.0204832482992039,0.0204820341918202,0.0204824730962483,0.0204834454781309,0.020498894664231,0.0204747424127208,0.0204884745478506
"C","3",0.0201072679942668,0.0201313321948693,0.0201295433320315,0.0201420564055832,0.0201318859952337,0.0201494554534601,0.0200312060771281,0.0201039158509937
"C","4",0.0191627425622568,0.0194426780077913,0.0194218630518618,0.0194490343938775,0.0194253129016011,0.0182655017666356,0.0179596360311681,0.0187513281535543
"C","5",0.0195262284498288,0.019548184814159,0.0195349601038089,0.0195624904968185,0.0195592537639083,0.00925365625953419,0.0183631311603591,0.0194328445604314
"D","11",0.0219588879522564,0.0218945083750888,0.0218847468047862,0.0219658936178933,0.0218947758878388,0.0218233769711185,0.02200074581044,0.0219590599444366
"D","12",0.022060269730174,0.0220617021958715,0.0220643514541279,0.0220669924168146,0.0220620036156538,0.0220919514848544,0.0220530727841222,0.022042201946513
"D","1",0.0220950411734153,0.0220946687592545,0.0220942062973901,0.0220930759707919,0.0220945123567005,0.0221130328500527,0.0220920775847882,0.0220991493727877
"D","2",0.0204780498367096,0.0204784667833837,0.0204793669164145,0.0204795557267625,0.0204784180376939,0.0205102171521297,0.0204723372277985,0.0204826716233431
"D","3",0.0204167897097675,0.020420736543261,0.0204187783547375,0.0204186508987823,0.0204197817476576,0.0204794652971464,0.0204419917866668,0.0204222050895935
"D","4",0.0185017527474151,0.0184489829460278,0.0184235470228041,0.0185414488516488,0.0184460967792883,0.0185684424172894,0.0181614470292922,0.0183214267462956
"D","5",0.0187020017208701,0.0186593990285007,0.0186105345016237,0.0186987245375962,0.0186548902337709,0.00367055060042788,0.0185194537118732,0.0177966755079075
"AN","11",0.0213297017031522,0.0213179455825162,0.0214282721941882,0.0212806606509902,0.0213749993102207,0.0219966295689133,0.0217603596936894,0.0215983698307507
"AN","12",0.0220650098561631,0.0220719901249706,0.0220737636092845,0.0220729826486608,0.0220645050279877,0.0221127205648078,0.022058321031996,0.0220676615293677
"AN","1",0.0221131632158647,0.0221133375764811,0.0221137192638225,0.0221133672672778,0.0221122362346422,0.0221207363437124,0.0221110291997705,0.0221127543169489
"AN","2",0.0205036600513552,0.020503641631042,0.0205039408557814,0.0205035857102029,0.0205032607861419,0.0205043841021456,0.0205005321016199,0.0205029239962275
"AN","3",0.020485069201891,0.0204861069029459,0.0204861353767418,0.0204861553422094,0.0204815079032031,0.0204812356496521,0.0204772909190196,0.0204845017922284
"AN","4",0.0194724069678299,0.0194406636356331,0.0194961598267356,0.0194511685049175,0.0194836534480672,0.019848228887604,0.0195360478244613,0.0194580045151611
"AN","5",0.0192037731927838,0.0192038529505281,0.0191857015993334,0.0192063808936037,0.0192074262563202,0.0185802070516972,0.0191445705446852,0.0188444798307626
"W","11",0.0219535454809013,0.0219662984066644,0.0219655511131936,0.0219621411446712,0.0219638279690723,0.0219271640599005,0.0220240065785705,0.0220304087676581
"W","12",0.0220738753939934,0.022075662843332,0.0220759597786149,0.022076431910125,0.0220757378350114,0.0221078398929304,0.0220765499373865,0.0220813207809968
"W","1",0.0221105826499278,0.022110323556318,0.0221103858813034,0.0221103706006162,0.0221103808780182,0.0221166506323674,0.0221062283712607,0.0221115063057923
"W","2",0.0204989134878205,0.0204986597293157,0.020498818698215,0.020498795127952,0.020498710663859,0.0204998748019862,0.0204952588549773,0.0204991756357153
"W","3",0.0204407720671576,0.0204413840671123,0.0204414154193934,0.0204413612739453,0.0204414625863232,0.020448479423699,0.0204289230746393,0.0204414585258718
"W","4",0.0197207021901067,0.0197310141353522,0.0197260579837414,0.0197329068410213,0.0197298170300015,0.0199001382976578,0.0195624715166821,0.0197310886606597
"W","5",0.018939216937563,0.0189319344680796,0.0189454636766989,0.0189427218829551,0.0189282235755987,0.0181918052362279,0.0187719018279158,0.0186286390634347
