"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
1980,14889.2364573294,14887.4297943161,14886.0785507889,14886.2446612188,14886.2446999458,14886.260910318,14886.2057544588
1981,13041.0448209174,13044.7237680898,13044.8825890835,13044.8710136764,13044.8707441961,13044.8723848937,13044.8253704105
1982,13241.7740450248,13139.1828774611,13093.7658585742,13097.5479182209,13097.5494208151,13108.5231977304,13133.5519290463
1983,16213.0695881446,15968.4824108081,15808.1694251641,15818.67758009,15818.6447017782,15837.2426732606,15881.4286046783
1984,16135.4919956009,15952.4960789441,15748.6288516712,15758.6244457491,15758.5470251455,15763.6640332713,15776.9235382119
1985,14933.0565810985,14816.3082098237,14599.9882277602,14603.7502708524,14603.6852032098,14601.3144441315,14594.6061771125
1986,13254.8439628804,13111.4201958262,12861.7863424135,12858.3434494916,12858.5030214027,12853.7099477068,12862.7025760066
1987,14743.0605774329,14675.7605598259,14297.3951914456,14320.0795501248,14320.1835843843,14314.1677566657,14356.1363721696
1988,20008.419412561,19998.4290228092,19576.284611554,19636.6920362012,19636.7479848095,19639.5173868542,19712.5947289822
1989,18408.2301273172,18324.6499571526,18234.2963339945,18276.8254085834,18277.2745386496,18282.8120477927,18353.6438568058
1990,13716.1179623866,13517.1848928163,13535.9320129797,13552.1225089193,13553.0633400144,13575.2507423235,13601.8297813336
1991,14492.2208260658,14126.8285375284,13976.0524316631,14025.037718121,14026.8385563898,14068.4177834552,14081.2770780275
1992,15958.2320903387,15443.9503060763,15275.2000346965,15425.4724177802,15476.1538155137,15464.5168443653,15528.1065345564
1993,16757.815493745,16202.1209812413,16086.1841005524,16274.7708184797,16412.2642893867,16299.4878970896,16373.9771172144
1994,18607.1581107221,18141.5705130693,18043.6458485043,18125.6469030716,18218.2126020737,18098.9105341423,18142.91171122
1995,17254.6992119872,16975.9205392146,16890.6735407253,16889.8341400035,16860.382096575,16827.7701345827,16862.2982018408
1996,15056.528882005,14825.7195739495,14757.2316307817,14761.9957558412,14727.6443498109,14730.9072409005,14760.2823746856
1997,18617.8834989986,18269.6400104368,18115.5226384285,18120.6045332608,18121.9206200756,18116.2853365321,18128.3598209078
1998,19919.4145698576,19592.0115587431,19403.9530453103,19399.9882640805,19400.5480862136,19399.2583707569,19397.1138335316
1999,18239.1150796584,18031.6310337702,17935.8854230243,17935.5721445688,17937.8095352146,17938.2927377743,17937.2297080235
