"WYT","Month","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"All","11",0.999835746206977,0.999820695046086,0.999838578864415,0.999830992487508,0.99984598716849,0.999839401518289,0.999827352118201,0.999836055965571,0.999839580298229
"All","12",0.99969670727922,0.999704545365435,0.999700019851451,0.999706902009456,0.999701332501755,0.999697494600726,0.999707398675181,0.999713158862869,0.999709475259811
"All","1",0.99971945766433,0.999721655473178,0.99973045347014,0.999723138526918,0.999721022326712,0.999735021045438,0.999727340178359,0.999721192780738,0.999728134584339
"All","2",0.99982562751217,0.999823675780336,0.999822803172972,0.999822800328848,0.999814872525566,0.999822886591537,0.999823316027905,0.999823342942606,0.999815107365928
"All","3",0.999893379240796,0.999897464470356,0.999891716089586,0.999891827546219,0.999901778149033,0.999892614332366,0.999884572678646,0.999895043348205,0.999903369815277
"All","4",0.999833212021848,0.999836049594437,0.999849112987172,0.999843693244355,0.99985289836952,0.99985241930321,0.999837807937035,0.999844394124964,0.999848589244601
"All","5",0.999899102491503,0.999901338356065,0.999893463443451,0.999893090067619,0.999893173631921,0.999894291899408,0.999905925862626,0.999896511202922,0.999896303501628
"C","11",0.999755454549579,0.999760048470056,0.999772406756463,0.999760062643159,0.999768885134,0.999767527106639,0.999753843833527,0.999758419426308,0.999772655061699
"C","12",0.999492381921705,0.999516537393855,0.999500155026324,0.999527757861998,0.999517103185567,0.999501380855624,0.999513754873443,0.99951939274073,0.999512441846997
"C","1",0.999595869482397,0.999595179439278,0.999610961833762,0.999581655954012,0.999573532980871,0.999629386272068,0.999617255607471,0.999607106417399,0.9996250814961
"C","2",0.999758282847981,0.999760620613758,0.999746685643419,0.999746680378896,0.999715149678492,0.999747019898616,0.999738021855733,0.99974874828807,0.999715863276643
"C","3",0.99979570905233,0.999817380578957,0.999787207718539,0.9997872523143,0.999827397852534,0.999791205484695,0.999762127197622,0.999794315133601,0.999833190406603
"C","4",0.999720328356508,0.999742136202325,0.999780507410964,0.999758813756918,0.999789768463452,0.999775480758132,0.999734098046753,0.999745665378889,0.999774639945267
"C","5",0.999853303765241,0.999863184156291,0.999836824218591,0.999835207504633,0.999840445121786,0.99985264623612,0.999832816348569,0.999848018089594,0.999854697335534
"D","11",0.999857288680604,0.999830265975634,0.999849537011589,0.999849548131873,0.999867207895375,0.999868037866163,0.999864869367263,0.999841833663487,0.999843098769517
"D","12",0.999681314020269,0.999659858008407,0.999688944509321,0.999688947159714,0.999674264403981,0.999674808958519,0.999682567270637,0.999680246490576,0.999683468807586
"D","1",0.999579484393624,0.999586365422779,0.999610618992089,0.999610666803727,0.999610675871589,0.999610901060891,0.999587260126858,0.99958300632594,0.999582919780176
"D","2",0.999724168563645,0.999712315370734,0.999724846188392,0.999724850324959,0.999724611598678,0.999724846677907,0.999737074550048,0.999724928963339,0.999724882473648
"D","3",0.999857355601081,0.999866160393897,0.999859357427777,0.999859395403686,0.999859364257072,0.999859891024637,0.99986556429734,0.99986672031227,0.999859929010514
"D","4",0.999862429933671,0.999863602417513,0.999861201629241,0.99986114008619,0.99986818571337,0.99987191998155,0.999814510513804,0.999881391146745,0.999854246941899
"D","5",0.999932510116499,0.999929293208403,0.999925528215258,0.999925510666753,0.999917981802159,0.999904113744325,0.999903727701371,0.999926587451765,0.999907240194869
"AN","11",0.999846318333713,0.999776244020617,0.999874349340975,0.999829774805269,0.999876049885863,0.99987118556516,0.999805001428309,0.999858597049499,0.999816081433226
"AN","12",0.999694870283183,0.999759528346343,0.999690346553734,0.99969011208385,0.999690575505779,0.99969060423675,0.999727175883749,0.999792040182268,0.99976789550374
"AN","1",0.999743362530674,0.999755449243864,0.999752018997027,0.999752036074154,0.999751175198044,0.999751088188351,0.999751601929084,0.99972419907944,0.999748859719541
"AN","2",0.999900571131366,0.999898881669376,0.999900013570149,0.999899985982172,0.99990001595307,0.999900011974082,0.999900335392689,0.999900013335931,0.999900004158936
"AN","3",0.999973774849188,0.999973315122223,0.999973129140876,0.999974054415044,0.999973254298353,0.999971049302117,0.999974083604042,0.999973844347448,0.999973543216601
"AN","4",0.999836592515105,0.999830438904563,0.999837880012038,0.999838090285701,0.999838619631062,0.999866012431738,0.999910819077597,0.999837931080612,0.99986561145
"AN","5",0.999867195547274,0.999867527772894,0.99986643221685,0.999866841148077,0.99986652074641,0.999874645183769,0.999950905744457,0.999866985066908,0.999883555450156
"W","11",0.99986842888909,0.999860011847519,0.999862521864186,0.999862421599592,0.999872709594064,0.999859541359735,0.99985648254119,0.999871610380771,0.999880419190174
"W","12",0.999817471036493,0.999816636845901,0.999818127861405,0.999818137563619,0.999818102831086,0.999818060380981,0.999821619809595,0.999817905247431,0.999817514413713
"W","1",0.999845015915419,0.999844539120925,0.999845305141286,0.999845305711676,0.99984530308305,0.999845300992017,0.999845364573803,0.999845322229459,0.999845320627389
"W","2",0.999891479942909,0.999891487524027,0.999891469260941,0.999891470157588,0.999891469313113,0.999891469075319,0.99989191581043,0.999891486098506,0.999891476969209
"W","3",0.999945785272397,0.999939012743588,0.999946066134018,0.999946066545338,0.999946067565888,0.999946066280118,0.999941154798596,0.999946080150235,0.999946071310808
"W","4",0.999882188209947,0.999877224821993,0.999884350683065,0.99988433946515,0.999884349217504,0.999883475275984,0.99988955425517,0.999884236539625,0.999883374944233
"W","5",0.999916788827036,0.999917624217826,0.999916685609037,0.999916670985117,0.99991736425867,0.999917429051414,0.999937523690587,0.999916645963288,0.999917390186121
