"Year","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
1980,14888,14882,14889,14889,14888,14888,14890,14881,14888
1981,13045,13048,13046,13046,13046,13046,13043,13046,13046
1982,13095,13118,13097,13097,13108,13134,13114,13125,13132
1983,15807,15867,15817,15817,15837,15886,15888,15876,15883
1984,15748,15788,15758,15758,15765,15778,15823,15787,15783
1985,14598,14609,14602,14602,14600,14594,14660,14608,14595
1986,12859,12860,12859,12859,12854,12864,12917,12855,12853
1987,14295,14325,14337,14337,14330,14364,14434,14271,14288
1988,19578,19605,19665,19665,19667,19722,19850,19548,19603
1989,18233,18176,18287,18287,18303,18357,18452,18225,18305
1990,13540,13512,13554,13555,13596,13607,13631,13569,13660
1991,13973,14029,14019,14018,14070,14078,14210,14055,14175
1992,15275,15379,15454,15401,15458,15495,15731,15395,15507
1993,16087,16256,16381,16236,16316,16334,16459,16194,16246
1994,18042,18148,18217,18117,18116,18117,18209,18088,18081
1995,16889,16874,16891,16903,16836,16841,16995,16878,16871
1996,14759,14726,14747,14769,14727,14745,14871,14741,14758
1997,18116,18135,18123,18120,18113,18124,18249,18123,18136
1998,19405,19435,19402,19405,19401,19398,19547,19424,19435
1999,17937,17934,17940,17940,17942,17940,18048,17956,17962
