"WYT","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"C",0.0680945970635599,0.0485982207239841,0.0436382646584996,0.00880774517555224,-0.00050806766687545,0.191240803528918,0.0574622090907111
"D",-0.086524415485783,0.038592490126298,0.0387248649325558,0.0413320774287177,0.0573766879156828,0.0913149008537352,-0.0594427696692786
"AN",0.394914032083987,0.653081708880368,0.142906950751582,0.211516751137173,0.0905090392352134,-0.610856108065489,-0.0809805277555217
"W",-0.0273901185152283,-0.0861840304588543,-0.0371574705418132,-0.0261375115943636,-0.00718753669605006,0.030210599139104,0.0133692661617011
