"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
1980,9564.62877149918,9562.82210848591,9561.47086495868,9561.63337282442,9561.63398351458,9561.65107329754,9561.5961257098,9561.44821163914
1981,7709.34965465893,7711.41179274808,7711.57061374184,7711.55837498617,7711.55924407843,7711.56323512139,7711.51405842891,7711.5127176008
1982,7918.78316827781,7816.19200071411,7770.77498182723,7774.49949251465,7774.51816521083,7785.42319585871,7811.00021858786,7809.27923376335
1983,10890.0787113977,10645.4915340611,10485.1785484171,10495.6922287106,10495.7404514993,10515.0862265369,10560.2974549312,10558.1742711923
1984,10810.8843097707,10627.8883931138,10424.021165841,10434.192701356,10434.2426402365,10441.0459173595,10454.7316450516,10455.9611180985
1985,9599.74460575679,9482.99623448199,9266.67625241847,9270.55591502235,9270.60282264312,9269.09736057748,9262.38840706219,9263.36363594089
1986,7931.85308613339,7788.42931907923,7538.79546566649,7537.87977738726,7538.11777119211,7533.46312271326,7542.53807969293,7533.4262361161
1987,9411.3654111745,9342.44858448419,8964.08321610391,9004.46181222184,9004.89563244562,8998.00828012746,9031.92906951874,8957.72603094231
1988,14673.74537404,14663.7549842882,14242.9726362124,14330.5611761422,14330.8080640002,14332.5064679815,14389.3241487477,14268.8031473999
1989,13074.9181519755,12991.3379818109,12900.9843586528,12955.5940015505,12955.6649012873,12971.5709900046,13024.3667662632,12974.8039413264
1990,8387.42408701834,8187.12895426872,8205.87607443212,8221.43775420722,8221.51859155261,8263.34388873518,8274.39554811918,8328.75134780889
1991,9158.90885072414,8793.51656218668,8642.74045632147,8685.6274286093,8684.74865538867,8734.36862863927,8741.85553627052,8840.60724383127
1992,10624.920114997,10110.6383307346,9941.88805935482,10120.608768979,10063.875807153,10124.1486732849,10160.5768357854,10177.9091672501
1993,11433.2078079148,10877.5132954111,10761.5764147222,11056.0707703951,10913.2125408439,10987.9444805182,11006.6436099049,10924.3380547545
1994,13273.8461353804,12806.8964745483,12710.3338731627,12882.3126952074,12785.2525386455,12784.4207159375,12782.427413485,12749.3298204011
1995,11931.7083352402,11652.9296624676,11567.6826639783,11569.2985433249,11580.441443801,11514.631391792,11518.8280787201,11548.8353214407
1996,9733.53800525806,9501.11188811927,9434.24075403467,9422.53824772361,9442.71401624667,9405.64435973319,9424.33418759666,9432.94257416526
1997,13288.657713195,12945.0323246065,12790.9149525982,12797.8509212426,12796.5783861318,12787.3796090121,12800.8576804951,12813.3453533579
1998,14596.4236931106,14269.0206819961,14080.9621685634,14080.5960779811,14080.2532050791,14077.945333272,14075.4832163945,14112.5657347126
1999,12914.5073938282,12707.0233479399,12611.2777371941,12615.213328111,12614.1809707933,12616.1203250835,12613.2832270629,12638.1521277174
