"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","EXP1","EXP3","NAA"
1981,2109444,2102240.2,2102177.4,2106579.4,2115757.3,2135879.4,2103073.9,2208383.9,2142531.6,2101543.5
1982,3869899.7,3861111.8,3861080.4,3854131.9,3858321.3,3882337.7,3861991,3977712.6,3984481.9,3855199.5
1983,4599006.1,4597009.7,4596978.3,4598140.1,4598422.7,4597544.4,4597229.5,4632102.1,4671394.9,4596381.7
1984,4562281,4560329.2,4560235,4558270,4557386.7,4581721.2,4560643.2,4743227.2,4801579.4,4559315.3
1985,798755.3,801637.7,801584,800194.7,803443,818096.6,801614.5,855356.7,880274.8,801319.1
1986,2742293.9,2737468.3,2737351.8,2737333.6,2745649.6,2779067.7,2738159.1,2833323.6,2822594.1,2726075.1
1987,1470712.9,1487284.8,1487384,1487311.2,1491859.6,1495133,1486291.4,1510806.5,1471751.9,1485658.4
1988,1355535.1,1407388.3,1407388.3,1407204.9,1411809.7,1391475.2,1407189.9,1387188.6,1333606.1,1405947.6
1989,1080369.2,1070400.8,1070939.6,1081872.7,1070273.8,1087930.8,1081302.5,1144907.7,1091046.7,1070910
1990,885593.5,891330.4,891106.5,891156.1,896584,917388.3,891838.7,944278.7,893204.8,880299.5
1991,1067851.4,1041677,1077819.3,1045790.9,1049887.4,1048512.6,1038853.9,1081267.5,1044491.5,1032725.7
1992,1477429.3,1471997.1,1486146.2,1463973.3,1469138.8,1479376.9,1472689.7,1547620.9,1481070,1471772
1993,2049854.2,2054950.1,2044063.4,2046799.3,2050067.6,2071330.3,2055075.7,2149389.2,2088345.5,2056796.8
1994,608880.3,609574.2,610403.8,609771.7,612438.8,623430.4,609973.8,633898,613067.8,607785.4
1995,2596604.5,2591225.1,2599785,2592158,2600206.4,2623337.7,2594199.9,2768884.9,2638591.2,2590440.1
1996,2465104.4,2442168.3,2442222,2441692.3,2443056.6,2486272.5,2441813.8,2520097,2487601.2,2443504.4
1997,3660765,3667166.5,3669310.8,3672279.7,3676321.2,3694378,3668180.4,3776249.1,3674703.8,3663281.1
1998,3605343.5,3597044.8,3602544.8,3599054.4,3605317.1,3642613.9,3599992.3,3686061.8,3631784.5,3594460.9
1999,3819684.2,3817808.4,3819509,3818570.2,3819813.9,3846128.7,3818310.8,3933709.9,4083586.9,3817655.5
2000,2356032.6,2360533.3,2361825.7,2362583.4,2370457,2407455.6,2360573.8,2463118.4,2384297.9,2356719.8
