"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","11",-0.0839887585317526,0.0515214404316893,-0.00676987897138161,0.105175618661146,0.0951356232849144,-0.0501808452843806,0.0405038862316505
"All","12",0.120119084777172,0.0203540673033444,0.0585051888308272,0.0150574836103304,0.00371897735501594,0.0681968109683307,0.0563525760694607
"All","1",-0.0130574904666305,0.0473613528176153,-0.0153117416672325,-0.0447463706676281,0.0434220579102632,0.0686193125798591,0.0284883953350631
"All","2",-0.000481368598467962,-0.00762276178126308,-0.00975566640516496,-0.0338870364393809,-0.0126861425458455,0.00526779369871564,-0.000364149612810329
"All","3",-0.0112408214227741,-0.00574874497282092,-0.00339195280063944,0.006773669564826,-0.00424264194594182,0.0327037579112164,-0.000930654326021621
"All","4",0.129035099586481,0.139630939615711,0.0808938569937753,0.136944240327864,0.20489162003139,0.223787416739518,0.0971805596425223
"All","5",0.0672284063621712,0.0572138402605612,0.060720640989803,0.0432222632194584,0.0868774138778757,0.105484163501317,0.0511733913448877
"C","11",0.0798518019348056,0.252739301900129,0.0366803698734484,0.325493180890349,0.337865946603819,-0.0330368362544614,0.141088408316814
"C","12",0.322856799918691,0.0209823466808195,0.176725846091155,0.0666783432323832,0.0328339366372147,0.0681688025731974,0.0451332223253491
"C","1",-0.119235696137872,0.15848017520877,-0.0953364937023597,-0.215054222480964,0.137800309960208,0.14731651463729,0.14243964042059
"C","2",-0.00366749176103082,-0.0252579792612758,-0.0335792818659147,-0.122611804227987,-0.0355783382483124,-0.0352774254291038,-0.0241133382116175
"C","3",-0.00227805377046047,-0.00950848832429118,-0.0152832036640291,0.0436309982141209,0.00447985044194566,0.0421875680654564,-0.00710346785173024
"C","4",0.568709388725514,0.556206963316747,0.315303303672229,0.517555142732674,0.625414927897364,0.427677366380011,0.314111168889051
"C","5",0.201617122852786,0.230216932270503,0.24280989522591,0.241519946101085,0.380543432253596,0.193513884141797,0.233601223677869
"D","11",-0.13421683551017,-0.0550659441020391,-0.0543505531220006,0.0776524437671463,0.059864922860838,0.00357042813603775,-0.0341957657543845
"D","12",-0.00891060715728319,0.0769854972665102,0.0771688258460112,-0.00340084655389396,-0.0160230945667179,0.0581307778357698,-0.00126613647095286
"D","1",0.0304437511371022,0.0378996085648441,0.0382025018909811,0.0426396311806491,0.0413247041931291,0.0547962824582137,-0.0318640427734427
"D","2",0.0050204880406152,-0.00509593644381156,-0.00543330514604167,-0.0142920340814095,-0.0175155450435063,0.0624593345647885,0.028250791134223
"D","3",-0.00551518865507199,0.0013190975275715,0.00146021050475927,0.00260890701187912,0.00805166818698112,0.0851042138835082,0.00791777366265026
"D","4",-0.00734153225876642,0.0028529433316054,0.00281377077373314,0.0390305434359046,0.219839505930436,0.193647052144368,0.0873966495830741
"D","5",0.0172111252322535,-0.0187291204350394,-0.0187253197584326,-0.0957552073179097,-0.0800273055454629,-0.538278893414752,-0.0562693993761556
"AN","11",-0.412938715029457,0.16173285793032,0.113078370167369,0.171927111637314,0.210770184365957,-0.197715493992001,0.162778468949865
"AN","12",0.353316830272849,-0.0146873703748006,-0.0195307484891606,-0.0129735525900408,-0.013147374320392,0.183559236396015,0.424500366235217
"AN","1",0.0351870416047102,0.0161067044390708,0.0183230795676409,0.0124597839117066,0.0214047509510606,0.0701139653226613,-0.0462296121388069
"AN","2",-0.00537539538054235,-0.00135707400461363,-0.00145821191201083,-0.00126059274690331,-0.00103310726763861,0.00558989348830735,-0.00188696387364811
"AN","3",-0.0311273043313505,-0.0366494760336795,0.000729236951483921,-0.0462735495673288,-0.0684580249524694,0.0136882912302751,-0.0117374576632928
"AN","4",-0.0596632409386555,-0.0100253408721597,-0.00175373470943186,-0.0125245340174408,0.0527465911552469,0.249516367642282,-0.00479663734365765
"AN","5",0.0725677574527067,-0.00577531524304375,-0.00194954305935875,-0.00806638802244437,0.0901159137327217,0.518440272999853,-0.00114307505591335
"W","11",-0.0790127301929516,-0.0356958515667763,-0.0358780114840473,-0.0179117331708665,-0.0475502540506265,-0.0508691886551409,-0.00840603758094613
"W","12",0.0147445439110499,0.00279969356648821,0.00282221097011948,0.00112253354751807,0.000197992478441929,0.0472616770571242,0.00684830855423757
"W","1",0.0153345683915345,-0.00238827940155733,-0.00237098109157034,-0.00242836145740293,-0.00243419643592872,0.0312554365905796,0.00908428010874266
"W","2",-5.60631403622988e-05,-0.000409019302855639,-0.000372909270064428,-0.000864203858604334,-0.000539967700935003,0.00239895233487266,0.000483020859717021
"W","3",-0.0142769137433988,7.39647620064252e-05,9.05358495042336e-05,0.000137298326085785,-0.000183886342005701,0.00856571658207921,0.000961595410378663
"W","4",-0.0090754823793801,0.0056433986869301,0.00564166090789835,0.00544327262687423,0.00253358721012836,0.120054743688226,0.00570267264927457
"W","5",0.0146256012974147,0.0100660861677151,0.010079172514449,0.00746252172130667,-0.000786929209500449,0.249924252298992,0.0104061718293157
