"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1981,0.375937971305376,0.0331518238856212,0.0301635440808105,0.239628634858137,0.67635050142906,1.63384198328514,0.0728226658168107
1982,0.381308412184652,0.153359119288127,0.152544634849646,-0.0276924709084349,0.0809763541419913,0.703937630205665,0.176164683565675
1983,0.0570970857359266,0.013662920988481,0.0129797749390488,0.0382561787677347,0.044404493212543,0.0252959844479247,0.0184449433344453
1984,0.0650470477442125,0.0222379882347767,0.0201718885289681,-0.0229266881366992,-0.0423002111742442,0.491431246266306,0.029124987254125
1985,-0.319947446653904,0.0397594416506454,0.0330579915042613,-0.140318632115473,0.265050464914652,2.09373519238466,0.0368642155166429
1986,0.594950593987664,0.417934194109316,0.413660650801576,0.412993024293408,0.718046982638135,1.94391563167132,0.443274655199321
1987,-1.00598495589565,0.109473348651355,0.116150522892736,0.111250338570431,0.417404162356566,0.637737450277944,0.0426073719234673
1988,-3.58565994920435,0.10247181331651,0.10247181331651,0.0894272304316353,0.416950105395115,-1.02936980012626,0.0883603343396496
1989,0.883286177176416,-0.0475483467331696,0.00276400444480491,1.02368079483803,-0.0594074198578735,1.58937725859316,0.970436357863873
1990,0.601386232753739,1.25308488758654,1.22765036217787,1.23328480818176,1.84988177319196,4.21320243848826,1.31082659935624
1991,3.40126134170961,0.866764524210052,4.36646439611216,1.26511812381545,1.66178686170006,1.52866341953144,0.593400551569497
1992,0.38438698385348,0.0152944885484885,0.976659428226652,-0.529885063719105,-0.178913581723253,0.51671726327175,0.0623534080006926
1993,-0.337544282449297,-0.0897852427619468,-0.619088866727132,-0.486071351336202,-0.327168925972656,0.70660845057713,-0.0836786599434661
1994,0.180145821205976,0.294314407684016,0.430809953644807,0.326809429775695,0.765632080007171,2.57409934493326,0.360061297951531
1995,0.23796728594496,0.0303037310146643,0.360745650903118,0.0663169165733797,0.377013156953534,1.26996181073633,0.145141360342603
1996,0.883976308780128,-0.0546796641741301,-0.0524820008509052,-0.0741598828305811,-0.018326138475555,1.75027718386757,-0.0691875160936929
1997,-0.0686843278284075,0.106063386727268,0.164598343272106,0.245643174912229,0.355967768894383,0.848881075492675,0.133740760434677
1998,0.302760283190174,0.0718856059889233,0.224898815841895,0.127793850810841,0.302025819782883,1.33964456255456,0.153886776178311
1999,0.0531399441358879,0.00400507589017324,0.0485507401073896,0.0239597313063123,0.0565373172094856,0.745829475708329,0.0171649851590925
2000,-0.0291591728469454,0.161813890645804,0.216652823980194,0.248803442819129,0.582894920304068,2.15281426328237,0.163532380896533
