"Water Year","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
1981,0.367094001735353,0.0400466183711295,0.0379929456341485,0.181236619038573,0.59761876646147,1.40625240664774,0.0749590548998064
1982,0.378930100104552,0.153362715819754,0.152496259798173,-0.0288818673860177,0.0797139539854089,0.715692673825519,0.175890572380848
1983,0.0595753372693583,0.0150762077987764,0.0148330431568606,0.0389063427065197,0.0464444466059079,0.0291797570298898,0.0199395006370914
1984,0.065483548178233,0.0210920791884945,0.0203563089842447,-0.0235446465359939,-0.0429199285812388,0.503512076441619,0.0279592677614927
1985,-0.423477062712529,-0.0493003147635481,-0.0455079828586598,-0.26925556524707,0.106185293336873,1.29192106893195,-0.0581490892082875
1986,0.582180463704495,0.410014972686067,0.406751171908467,0.408383072297267,0.704572992864516,1.99907797628033,0.437349304198472
1987,-0.961917700162146,0.135851702528595,0.147537870488044,0.132199775041267,0.476941729845012,1.0795097652541,0.0496662138276582
1988,-3.39117743697896,0.160465809320771,0.159701686419244,0.151296334502441,0.553224980705897,-0.782461851164141,0.132957384865782
1989,0.730441159442665,-0.0791230846424023,-0.0231579759928982,0.937898027712378,-0.0385966266548304,1.22640781195724,0.87710834073102
1990,0.295331208085891,1.13121448295715,1.11415564061284,1.12694977237107,1.93191389549327,4.93960103632467,1.20264838527395
1991,3.12610367201138,1.40059131593021,4.65585614675937,1.70734906812242,2.16143126709115,2.06859668419088,0.916236970363568
1992,0.54051649353827,0.182396512222791,1.12922718746061,-0.390002298492634,-0.0185362309169503,0.775555901565199,0.244678248103744
1993,-0.323746626517057,-0.0759538674524211,-0.596857341399167,-0.469190202489779,-0.290348472034432,0.805326466960068,-0.0716444281643405
1994,0.181704998569914,0.474451940710332,0.590541245352222,0.514830829281424,1.09695980618133,3.25218298366337,0.43407305213924
1995,0.241726026692725,0.029572864967727,0.367303554744088,0.0672889826077267,0.378446953137724,1.27977644628453,0.15000728606818
1996,0.879887824512522,-0.0503700611247499,-0.0476473551180066,-0.0716979248442385,-0.0122521770303446,1.76567484537299,-0.0626222381550944
1997,-0.065750844057347,0.108871165043793,0.167588197876401,0.247406664383226,0.35627782942702,0.855372608504184,0.136088956304741
1998,0.301388061183949,0.0713895510528407,0.225653059197457,0.127259634485499,0.30231922924116,1.34491706396504,0.154263508144617
1999,0.0586040002332497,0.0075806169455945,0.0530643186191615,0.0241996617878593,0.0615196221354015,0.830660679923028,0.0209924776954924
2000,0.00281326925331145,0.166451764154261,0.221310514593834,0.25225647638026,0.621732504981831,2.26608838354237,0.167389520572031
