"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
"All","11",0.301451318939562,0.325881978134494,0.329359225182399,0.32981443101542,0.329386144254751,0.333354798024189,0.33161489398262,0.329810786296538
"All","12",0.401765347371453,0.411427435974563,0.379377258603444,0.381044210629241,0.382925448927151,0.379596362790191,0.378823522383864,0.3839325696372
"All","1",0.455225997412412,0.446100133623465,0.437576222873137,0.441578632962438,0.438030424272679,0.438028452944424,0.441725909573558,0.441351856477813
"All","2",0.487287401982509,0.467479701991716,0.470387760008467,0.469026348832074,0.469237254529882,0.463343360409796,0.4687856562507,0.464065399922168
"All","3",0.504888759617067,0.474621859989106,0.468508853934591,0.467271444719526,0.467781689475228,0.468599890346633,0.467596650679728,0.46980039503255
"All","4",0.421571036191332,0.359857468030684,0.364963663718719,0.371894976409994,0.368568111752466,0.37171975747276,0.377835879257905,0.373111327073994
"All","5",0.343310464348173,0.330958238419728,0.345002169954799,0.346923590594089,0.347174944478355,0.345599985820472,0.348536283639339,0.348994174553804
"C","11",0.205016335837112,0.257727881566989,0.251103780256635,0.25366258692906,0.252886984189099,0.256894020780591,0.252662969342084,0.257336664328283
"C","12",0.294563049658383,0.301944896016509,0.277995167676099,0.278425277644839,0.286294969870291,0.27931978958316,0.276790963352717,0.278624917451962
"C","1",0.330165396387114,0.32089785385024,0.322852987452631,0.333108703883363,0.318574470068197,0.319266691813322,0.333922082223799,0.333309258906248
"C","2",0.37375190660894,0.348851659669461,0.365860630032565,0.361341754885883,0.362230443910343,0.339936861302847,0.361664314829189,0.342958312391922
"C","3",0.400718253167412,0.337789688022023,0.345502710168734,0.341775932290429,0.341800222498754,0.347325976195558,0.343570536567018,0.350143983849456
"C","4",0.284287495719842,0.244185268732099,0.247552635314116,0.275312969851182,0.261240673909838,0.272404333736111,0.279428018337922,0.266165997054315
"C","5",0.238689925554528,0.244747781419744,0.250020219039057,0.258528687734423,0.259299364396464,0.258467840506397,0.266333032519765,0.265634116146138
"D","11",0.307772390298943,0.320408636584152,0.323514875897322,0.319270605146558,0.319338866386571,0.331315454929303,0.329509303478304,0.31456424015018
"D","12",0.342209099000918,0.351116112150521,0.323055895554645,0.33080226238161,0.330822846073377,0.323102017517736,0.321945161148833,0.329471796933929
"D","1",0.351849485378304,0.335968669403165,0.324274238965004,0.331145355478221,0.331184927168163,0.331156815006487,0.330153297223659,0.322959480135534
"D","2",0.399879307606331,0.343445994298167,0.342719244116195,0.341979765675026,0.341936129180197,0.340511373342702,0.340026371796662,0.339887283098126
"D","3",0.487744400584277,0.454599483265981,0.411953914535952,0.412791427660599,0.412826155139116,0.413137342428824,0.414383143198266,0.414499154826329
"D","4",0.360767738033551,0.28660338617609,0.31019723229067,0.310017872090212,0.310015529760718,0.313203172772325,0.329109476523657,0.321952322577209
"D","5",0.222281561221194,0.253424609300995,0.30773905574176,0.305902430565207,0.305899986826255,0.299949560218998,0.301149323019557,0.303033328734607
"AN","11",0.220916190279769,0.245991885916936,0.271939252217665,0.289704547113572,0.28725904092585,0.289781390578518,0.2919840260107,0.275091003141251
"AN","12",0.348413813838684,0.389035995144016,0.307831651640866,0.306214790266154,0.305282174662715,0.30619316471733,0.306133120328011,0.338475941797239
"AN","1",0.535509701938946,0.529518473197446,0.492465883359634,0.495374619999719,0.496134824952141,0.494408739784728,0.496818118821971,0.495715073652766
"AN","2",0.576099589727057,0.573413488983059,0.56576325980437,0.56525192838272,0.565222794431028,0.565255316812315,0.565369568432148,0.565490515405017
"AN","3",0.568734722558156,0.563523158559128,0.559265390503261,0.554392676699221,0.559355093885675,0.553111270381964,0.550053037319644,0.55517650398956
"AN","4",0.501233773343574,0.410155192580377,0.401814028077755,0.399432231760924,0.401338221848286,0.398816115765196,0.411461975615049,0.412358784884085
"AN","5",0.402527466904142,0.337362086615373,0.341565662847997,0.340744035565728,0.341320040515914,0.340341355485255,0.350777861789016,0.35360702393384
"W","11",0.370113639761153,0.383931315187162,0.388191954926687,0.385720463427747,0.385712712972393,0.386422361745176,0.385219751889707,0.389010381934014
"W","12",0.499647519495124,0.504031977835399,0.476631383132008,0.477013243811319,0.477019821730292,0.476725989820268,0.476940971740259,0.476743081572666
"W","1",0.552808402324619,0.546066864356727,0.539470088624479,0.538966497546625,0.538969641837295,0.538976762247385,0.538962039312622,0.541913640797485
"W","2",0.569474677414005,0.564969420703137,0.564005394881445,0.563932809194058,0.563933640607008,0.563847419409584,0.564060769646346,0.563998474809023
"W","3",0.556192986561207,0.539782723276647,0.541813009855313,0.541844240988616,0.541846429853663,0.541844001719516,0.541826853703013,0.541882039346588
"W","4",0.507160527378453,0.445499898565341,0.446343679165067,0.446933191895698,0.446935589195631,0.446880950906106,0.446690626238195,0.446541077347923
"W","5",0.442064275610862,0.411889250095679,0.415094972804184,0.415636731090821,0.415640226583102,0.415464395781216,0.41476749939241,0.414707283059919
