"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","11",-0.894645037420899,-0.277833487236555,-0.172407188084998,-0.180553974847892,-0.306567100046909,-0.0557669894883845,0.163260687780159
"All","12",-0.142990104347211,0.0346704216019559,0.0295419318660754,0.0432298827175237,0.0360621615080729,0.0668174043290831,-0.117399418917692
"All","1",0.00563039409451254,-0.0133352671853584,-0.0144848300229882,-0.015716503780449,-0.00928814289239681,0.0266719083231586,0.00461363498469481
"All","2",-0.00700193068718131,-0.0112616984583417,-0.0111427262977038,-0.0108746247456645,-0.0113692529567498,0.0661594549034487,-0.00820825983430306
"All","3",0.00411797310608711,0.0328496751975705,0.030506191282578,0.0439439050605948,0.0288123600150445,0.040868773638305,0.0291003396645301
"All","4",1.61242244598667,1.02509268890526,1.01905299743978,1.13973308050211,0.988738690452735,2.11466642533622,0.432812605208626
"All","5",2.80967091322839,2.00054790579969,2.00350702248004,2.08911498189747,1.95341849766954,2.44103101681542,0.85851536640209
"C","11",-0.823099451481588,0.163609203562772,0.502299703902276,0.395574050370544,-0.112399887102011,0.427974872526943,0.684658732609193
"C","12",-0.325933533688032,0.106337838709418,0.0976841783254941,0.113326178194624,0.0966584343123516,0.115273242785578,-0.216835642481792
"C","1",0.00950376623555363,-0.0285598465430182,-0.0310667910382583,-0.0327587286934084,-0.0118906334993523,0.0272127267202491,0.00714072873352972
"C","2",0.00475943864828242,-0.0255082370067104,-0.024545847510217,-0.0292918420466114,-0.0314340436392894,0.0340978676943336,-0.0174107445262289
"C","3",-0.0027692577188381,0.136373152766689,0.139127841796127,0.189717042550979,0.127475071163959,0.0725331890178186,0.0450092716315158
"C","4",2.66036405207144,3.68693805887024,3.59433071901685,3.7208363834801,3.57593282361905,5.3086979861299,0.679988052971404
"C","5",0.275272167795071,0.59353252874995,0.650492536405467,0.667148527761582,0.525479134359126,0.605490548955454,0.499408502222163
"D","11",-0.72197729948583,-0.293963263960605,-0.292745029889403,0.0311200637643808,-0.338416762094756,0.151724494341193,-0.0088314386145525
"D","12",-0.145075624899546,0.0884677919463338,0.0898352586952722,0.112468211486924,0.100486819187386,0.132740478840769,-0.107771067590361
"D","1",-0.00752064977710667,-0.0202750497660886,-0.0209827808709255,-0.0274825147944358,-0.0223677179342822,0.0765499153860524,-0.000699096427003507
"D","2",-0.0460195937942046,-0.0205287671294181,-0.0207667521476666,-0.015212354315434,-0.0161341595931457,0.0835280579455853,-0.0263415707285697
"D","3",0.0480222878317332,-0.00719092931455625,-0.0118662109465752,-0.0174035604654593,-0.0167794556999008,0.0585807308423621,0.0803713436058878
"D","4",3.56259966681786,0.696213245281018,0.680460286848842,1.20090049972605,0.557381681692147,3.4677695344116,1.38228691044735
"D","5",6.47521559477085,4.84766674657829,4.82233170730189,5.06863784355627,4.57309565123365,6.12934144467025,0.581730742121667
"AN","11",-0.699515926765719,-1.29835839663846,-1.0342008321943,-1.47098684877705,-0.787548495073523,-1.16511008438492,0.0721167952752087
"AN","12",-0.0390771774045214,0.0196151078226167,-0.0143037420424851,0.0241127465456105,0.027651683476794,0.0237648661559248,-0.0540450674481867
"AN","1",0.00976254449500285,0.00263766116082435,-0.00234291169374584,0.00277193116752549,0.00436375704148319,0.0218781714519839,0.0056367822236077
"AN","2",0.00333721079616454,0.00350015838992757,0.00164264333432934,0.00322741271187587,0.00495958310187285,0.0631003073587647,0.00503667513436423
"AN","3",0.00623190106574808,0.0078357322711612,-0.0146153860886461,0.00807220013362226,0.00797473392327415,0.0391755146854923,0.00310184226381504
"AN","4",0.963730113337073,-0.0891195164153207,0.131816872003112,-0.035132123842605,0.196090567996352,0.937259572342205,-0.00452035691680981
"AN","5",3.21569243097623,1.90704717239743,1.92600925479032,1.92046193947094,1.81072532452628,2.39313292988674,1.60533692537234
"W","11",-1.05297722882661,-0.291008494984377,-0.302222256917531,-0.309879057201963,-0.294400594871014,-0.171908452090931,-0.0272517029124565
"W","12",-0.063623625387732,-0.025623184957364,-0.0252835690436292,-0.0221403009369775,-0.0242784498041899,0.0202424354070096,-0.0805621371749292
"W","1",0.00840306093017183,-0.00534902262188174,-0.00508978338487823,-0.00513626326680503,-0.00506715586614942,0.00528134236204976,0.00534299618845496
"W","2",0.00149660118965032,-0.00251671778808798,-0.00226824660979289,-0.00185621007465201,-0.00174122855830569,0.0769289201483595,0.00201046646645359
"W","3",-0.0120843696432065,-0.000364253653514945,1.98638047645318e-05,-0.000475758255479206,-0.000210877703833533,0.0160804170428599,0.00343194706316288
"W","4",0.39647847654511,-0.0003777049948414,-0.00644480738023725,0.00921480001881659,-0.0254961953938054,0.12792685261392,0.00631148988513197
"W","5",2.63080843308101,1.62811359226013,1.60819322948804,1.68602128395357,1.70073944846565,1.94952637352808,1.01627005461866
