"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","11",-0.00239045265073538,0.000142723392258098,-0.000990499136486305,0.00121400497761358,0.000402266346955481,-0.00161596074411928,-0.000122278870642726
"All","12",0.000992947241057146,0.000191983000481318,0.000888255196354364,0.000290736907457621,-5.0277182219639e-05,0.00151325170831929,0.00175356288942132
"All","1",0.000339620409151877,0.00119245119903721,0.000371402860895593,9.34389034570939e-05,0.0016615746703411,0.00112696524453168,0.000173783333188115
"All","2",-0.00017798087474262,-0.000302643172354956,-0.000302932645883481,-0.00109388663957691,-0.000305322968836536,-0.000208127257556707,-0.000248279281436793
"All","3",0.000410131271280466,-0.000159293636486799,-0.000150856277837162,0.000872512237721884,-0.00012255490997545,-0.000933635305693643,0.000180708409131758
"All","4",0.000317848310794309,0.00258241839766151,0.0018782628857498,0.00300685002367982,0.00307282019953133,0.00188711031662209,0.00177910120339632
"All","5",0.000486276738404682,-5.62674076536841e-05,-0.000202389330489168,-0.000723352309221627,8.36132451115528e-05,0.00376872073189206,-0.000263508761540419
"C","11",3.25405925506218e-05,0.00184346008540112,8.33889596351689e-05,0.00150758330154398,0.00139747878420847,-0.00108048947132385,0.000459266311616706
"C","12",0.0022460755738194,0.000356493490054781,0.00315262369945656,0.00239642582112519,0.000739335916883075,0.00199306263125397,0.00206239687079505
"C","1",0.000291424200253307,0.00159187512859559,-0.00169743189722951,-0.00265123651310233,0.00363833521317963,0.00257065842944743,0.00115653948019563
"C","2",0.000303706689791867,-0.00120901409335683,-0.00120957559456425,-0.00437658745502023,-0.00119437979992703,-0.00213574454743616,-0.00100110455425976
"C","3",0.00222302162157569,-0.000831222617374904,-0.000835512119412603,0.00329063581081069,-0.000588981353715255,-0.00353627240070918,-0.000100580600299024
"C","4",0.00291085405253862,0.00967240893757717,0.00685474096704986,0.0106745958636359,0.00889415351076704,0.00670074732701401,0.0043950126305024
"C","5",0.00261345256290102,0.0016699390417946,0.0011953745924113,0.00145548425678272,0.00552163580910742,-0.00167797565255096,0.00109323540693774
"D","11",-0.00372279445235022,-0.00150358935275323,-0.00150235635725964,0.00147675152478472,0.00139717964806875,0.000654598104315787,-0.00281300997658562
"D","12",-0.00203222493481183,0.000581622246354202,0.000581975933165105,-0.00133506595495864,-0.00127217606310319,0.000858393551392615,-0.000600552215790636
"D","1",0.000780043275126986,0.00340917806471078,0.00341442386704483,0.0033429206384157,0.00336560409748294,0.0018094927051615,0.000374639416611382
"D","2",-0.00119391606581364,2.11430622681717e-05,2.15759913100743e-05,2.42217419902292e-05,8.30080205128927e-06,0.00121485761503943,2.92308257766556e-05
"D","3",0.00089189114001186,0.0002092579552363,0.000209406842186652,0.000209620033080552,0.000205265362435445,0.000805535423808214,0.000956895289481581
"D","4",1.45101378079348e-06,-0.000115640482107234,-0.000125646652404922,0.000924528642918811,0.00163040978022328,-0.0063806514324636,0.00276129958706114
"D","5",-0.00152531283754325,-0.00241735859766549,-0.00242495554693816,-0.00536656088069226,-0.00886718033207086,-0.0103054510473579,-0.0024788544172166
"AN","11",-0.0114702186010912,0.00351457338165496,-0.0033561524755949,0.00366806378995281,0.00298369168239583,-0.0070383912506548,0.00114220456625123
"AN","12",0.00887971156920528,-0.000584274145493435,-0.000614276103370786,-0.000638183981674216,-0.000715025965059914,0.00430218109686246,0.0133451750174933
"AN","1",0.00134798016084629,0.000976216942895352,0.000978063760969658,0.000851725816347994,0.00081081185104002,0.000892305978465881,-0.00203850304034123
"AN","2",-0.000154981911027336,-4.13026990575388e-05,-4.40734369921554e-05,-4.10633295089666e-05,-4.69087958644894e-05,-3.59704915788721e-05,-4.13382930437776e-05
"AN","3",-4.69723014398321e-05,-6.58764151416479e-05,2.87206393709698e-05,-5.3093471731876e-05,-0.000281716755722158,2.11322962834532e-05,7.04563064102385e-06
"AN","4",-0.000908106746414532,0.000220839805249136,0.00025076433030884,0.000190516583668633,0.00457656774082557,0.0113359077888918,0.000114058493302091
"AN","5",0.000105044748130879,0.000119879456105265,-0.000113067954722911,9.32995712407402e-05,0.00492537140198671,0.0269586021761069,-6.72544016308666e-05
"W","11",-0.00112654535917159,-0.000819584263621723,-0.000833836228509814,0.000388835238518847,-0.00116632660605081,-0.00171753517760976,0.000469529988232759
"W","12",-0.00011114607908032,9.99710441835935e-05,0.000100676700190637,5.01239949332167e-05,0.000201827504445711,0.000918099728417374,5.2551930519497e-05
"W","1",-5.3346997296174e-05,3.38050150848586e-05,3.37752243646886e-05,5.78384519872898e-06,-4.41407894788993e-06,7.39890485804255e-05,3.02764401109416e-05
"W","2",7.87453007697559e-07,-1.08760888641832e-06,-9.95599416489547e-07,-1.07619295151651e-06,-8.21955603645245e-06,0.000192108858215203,6.30082564893263e-07
"W","3",-0.000709446162040652,2.94079434456995e-05,2.94508138521053e-05,2.95573971873108e-05,2.6224635961633e-05,-0.000472987816443838,3.06024611117738e-05
"W","4",-0.000709386501003589,0.000368183288724446,0.000366346703750432,0.000299104559915943,0.000146302372298016,0.000788227383300937,0.000259581540331833
"W","5",0.000283423193058276,-4.88676003916851e-06,-1.08357494399253e-05,-5.13966447234469e-05,-3.4695417330219e-05,0.00789718486044256,-7.61381109516551e-05
