"WYT","Month","NAA","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4"
"All","11",0.999745985359423,0.999722086905015,0.999747412230807,0.999736082884071,0.999758122325449,0.999750007001077,0.999729829856759,0.999744762881323
"All","12",0.999598397550296,0.999608323035006,0.999600316609292,0.999607276535005,0.999601303751764,0.999597894980388,0.999613523990123,0.999615926136839
"All","1",0.99961931523916,0.999622710150368,0.99963123521167,0.999623027853894,0.999620249272486,0.999635924660501,0.99963058060142,0.999621052410925
"All","2",0.99974987958444,0.999748100220859,0.999746853909689,0.999746851015678,0.999738943454078,0.999746827118427,0.999747798832434,0.999747397412623
"All","3",0.999850448762478,0.999854549461834,0.999848856064338,0.999848940425307,0.999859172580002,0.99984922339666,0.999841113805684,0.999852255576317
"All","4",0.999749471505128,0.999752649191936,0.999775289219411,0.999768249428402,0.999779532472349,0.999780192008833,0.999768337880545,0.999767258060007
"All","5",0.999659616447935,0.999664477560113,0.999659053965384,0.99965759324353,0.999652385387015,0.999660452295781,0.999697290827149,0.99965698225726
"C","11",0.999629541048738,0.999629866334114,0.999647968820329,0.999630374629412,0.999644611296776,0.999643510659495,0.999618740156795,0.999634132010461
"C","12",0.999386064156769,0.999408511123045,0.999389626903029,0.999417571038677,0.999410013702464,0.99939345297689,0.999405982546956,0.999406675463684
"C","1",0.999548532673957,0.999551445600274,0.999564444238447,0.999531566018335,0.999522032278293,0.999584899600194,0.999574227652569,0.999560092847361
"C","2",0.999743421978186,0.999746458265839,0.999731334939317,0.999731329325745,0.999699667332997,0.999731481244703,0.999722070012563,0.999733413501257
"C","3",0.999775914493064,0.99979813972781,0.999767604129539,0.999767561244131,0.999808813477334,0.999770025999348,0.99974055969333,0.999774908912447
"C","4",0.999612045692143,0.999641142939885,0.999708732256992,0.999680566508551,0.999718750238225,0.999700952721999,0.999679027169575,0.999655978767807
"C","5",0.99958823726041,0.999614361024815,0.999604929774641,0.999600186084227,0.999602786109836,0.999643430882462,0.999571464413163,0.999599165112943
"D","11",0.999752527323577,0.999715308591952,0.999737495151022,0.999737507477925,0.999767291184268,0.999766495662419,0.999759071684668,0.999724404185242
"D","12",0.999487030974082,0.999466719149418,0.999492844213004,0.999492847748057,0.999473687163007,0.99947431573932,0.999495610506303,0.999481028532571
"D","1",0.999371888212451,0.999379683745659,0.999405958579649,0.999406011004723,0.999405296421557,0.99940552311367,0.999389971773866,0.999375632253463
"D","2",0.999664020791259,0.999652085641911,0.999664232150846,0.999664236478682,0.999664262927299,0.999664103771391,0.999676165285741,0.999664313001308
"D","3",0.999832125935898,0.999841043350044,0.99983421816416,0.99983421965278,0.999834221784331,0.999834178244935,0.999840179937851,0.999841693282414
"D","4",0.999774855260976,0.999774869767847,0.999773699116514,0.999773599077339,0.999784098465878,0.999791155687997,0.999711063112353,0.999802462039926
"D","5",0.999739053800936,0.999723804652806,0.999714886522964,0.999714810573296,0.999685402195965,0.999650405136185,0.999636026182145,0.99971427172524
"AN","11",0.999769653797582,0.999654978032784,0.999804791435712,0.999736100003595,0.999806325986236,0.999799483841585,0.999699286097742,0.999781073212219
"AN","12",0.999598716338081,0.999687477820941,0.999592875941223,0.999592576042037,0.999592337059192,0.999591568947713,0.9996417208851,0.999732114536249
"AN","1",0.999699183330797,0.999712659077457,0.999708942563603,0.999708961026228,0.999707698026827,0.99970728901025,0.999708103706377,0.999678804432551
"AN","2",0.999783762122499,0.999782212638519,0.999783349184821,0.999783321483433,0.999783351577999,0.999783293135975,0.999783402495365,0.999783348828958
"AN","3",0.999943427673143,0.999942957976702,0.99994276894626,0.999943714863289,0.999942896768462,0.99994061066496,0.999943638984151,0.999943498125464
"AN","4",0.999749715896044,0.999740637101427,0.99975192374137,0.999752222911724,0.999751620585048,0.999795470119031,0.999863046601958,0.999750856195507
"AN","5",0.999570365457858,0.99957141545403,0.999571563737375,0.999569235264089,0.999571298052723,0.999619598010781,0.999839835656152,0.99956969320279
"W","11",0.999802509450589,0.999791246221818,0.999794315226554,0.999794172735052,0.999806397035061,0.999790848487913,0.999785337490783,0.999807203823194
"W","12",0.999765785961065,0.999764674760594,0.99976678543736,0.999766792492268,0.999766287083617,0.999767803763401,0.999774964808031,0.999766311357286
"W","1",0.999750857989112,0.999750324652049,0.99975119595504,0.999751195657207,0.999750915813154,0.99975081385932,0.99975159769526,0.999751160678082
"W","2",0.999784097154205,0.999784105027035,0.999784086280464,0.99978408720036,0.999784086394599,0.999784014976391,0.999786017828018,0.99978410345367
"W","3",0.999879338188262,0.999872244582672,0.999879632232212,0.999879632660864,0.999879633726569,0.999879600402978,0.999874608880813,0.999879644175947
"W","4",0.99981448320065,0.999807390651672,0.999818164350496,0.999818145988053,0.99981747369136,0.999815945952958,0.999822364012189,0.999817078534486
"W","5",0.999683799615244,0.99968663295099,0.999683750763096,0.999683691292013,0.999683285811313,0.999683452770778,0.99976274649292,0.999683038474884
