"WYT","Month","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
"All","11",0.999741412301372,0.999742297233791,0.999820028547319,0.999825150584927,0.999830032756395,0.999832571207829,0.999828193589143
"All","12",0.999711926913753,0.999702112269748,0.999665871873849,0.999670753964323,0.99967061991555,0.999671241587981,0.999670199159567
"All","1",0.99968996635142,0.999645031242312,0.999650189702211,0.999663648016222,0.999660068851224,0.999652411466695,0.999653692276291
"All","2",0.999822939696918,0.999772781168987,0.999784881187657,0.999781980425926,0.999792459716732,0.999782063688052,0.999782037937903
"All","3",0.999922581152194,0.999870606385043,0.999876494050058,0.999875104250215,0.999874621690745,0.99987499952085,0.999875662726896
"All","4",0.999894613345742,0.999787481864021,0.99982164591162,0.999834427176115,0.999838360200799,0.999843460131289,0.999850724531546
"All","5",0.999778683175399,0.999808315612402,0.999858910546315,0.999853497993977,0.999855494298375,0.999854214781837,0.999856384241664
"C","11",0.999585559911242,0.99968188987232,0.999735276891071,0.99975002754036,0.999762149406147,0.999764065952749,0.999758335541099
"C","12",0.99951449047559,0.999526750503759,0.999481527695343,0.999494236426323,0.99949291749246,0.999512491629837,0.999507214516064
"C","1",0.999586297691751,0.999532248930762,0.999562329031241,0.999588239158398,0.999573350004347,0.999542463555183,0.999546028725574
"C","2",0.999776089938909,0.999698112645482,0.999760938127867,0.99974932303271,0.99979122693209,0.999749649367807,0.999749552352284
"C","3",0.999882789301698,0.999757793121212,0.999794258130154,0.999786564085792,0.999786304409851,0.999786638077586,0.999789227860954
"C","4",0.999765584244089,0.999683515141287,0.999700893482458,0.999747613026112,0.999763499520843,0.999777747958527,0.999793698240197
"C","5",0.999683623657086,0.999777465492754,0.9997993847005,0.999788102488439,0.999795617626995,0.999796764663486,0.999809583280435
"D","11",0.999756841693033,0.999741737517135,0.999836630926625,0.999827344583117,0.999827733673982,0.999846661515564,0.999846802159867
"D","12",0.999634495988595,0.99958727099266,0.999576167554107,0.999585406106374,0.99958631785049,0.999564776249625,0.999565354705239
"D","1",0.999523793118854,0.999425049157503,0.999423204818332,0.999452850997158,0.9994535961008,0.999454392841667,0.999455381329387
"D","2",0.999794800645391,0.999689410248807,0.999688727948676,0.999688972207126,0.999688980047889,0.999688972125542,0.999688961734697
"D","3",0.99993761991367,0.999882874849772,0.999851187406161,0.999853170694101,0.999853170606274,0.999853167653107,0.999853162281006
"D","4",0.999865821168987,0.999727299520692,0.999845364338447,0.999844829236473,0.999844806512927,0.999852345193516,0.999855771475376
"D","5",0.99958786811668,0.999788524260136,0.999902794168428,0.99989318744331,0.999893518091718,0.99988319812164,0.999867867461979
"AN","11",0.999674079139547,0.999683406330646,0.999829969541946,0.999858637649201,0.999870710775761,0.99987270641925,0.999872961624466
"AN","12",0.999764529285653,0.99980807606842,0.99967467963243,0.999670217578349,0.999670367505988,0.99967071027943,0.999670688745445
"AN","1",0.999770862668793,0.999753479335591,0.999724797464233,0.999733990565778,0.999733932103391,0.999732991370863,0.999732942553992
"AN","2",0.999838880481818,0.999831304856315,0.999821846906913,0.99982143075981,0.999821448594046,0.999821451687439,0.999821451243104
"AN","3",0.999957024756952,0.999955156450396,0.999954645364244,0.9999547657326,0.999950589788091,0.999953541981006,0.999953705624271
"AN","4",0.999981501880569,0.999840936831776,0.999827650672871,0.999829183788981,0.999828860629075,0.999828992928328,0.999859330779983
"AN","5",0.999893108021078,0.999758432852382,0.999816904862461,0.999811082637957,0.999811505058467,0.999811773903603,0.999831846236526
"W","11",0.99983610238,0.999789192509378,0.999857524855625,0.999858468929541,0.999859727983301,0.999855448388009,0.999848784687663
"W","12",0.999844338152379,0.999827028529853,0.999806196613221,0.999806870841407,0.999806867159417,0.999806872005897,0.99980723492213
"W","1",0.99980343786185,0.999781358321249,0.999783303854026,0.999783597712474,0.999783597599197,0.999783595272176,0.999784032385824
"W","2",0.999857931188735,0.999838312160498,0.999832703056143,0.999832693667428,0.999832693588282,0.999832692782773,0.999832694174627
"W","3",0.999930349707422,0.999909038866102,0.999916061110807,0.99991633892597,0.999916338862708,0.999916338383849,0.999916339428954
"W","4",0.999959784139702,0.999860109980852,0.999876854680065,0.999879199318654,0.999879195455768,0.999879232911381,0.999878250218718
"W","5",0.999890872968186,0.999845335782107,0.999881811225019,0.999881614709798,0.999881635038747,0.999882681336172,0.999882734012238
