"WYT","Month","Alt1","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Alt3","Alt4","Action5"
"All","11",-0.00156906803938304,0.000348412997782099,-0.000486965311689301,0.00123397391570575,0.000495445938792651,-0.000915925489008492,-4.54137425149541e-05,0.000647399077822387
"All","12",0.000883481373278617,9.76962582072072e-05,0.0010040777594883,0.000567007413414791,-0.000102872826668445,0.000958545885123624,0.00167026505385158,0.00156117790615167
"All","1",0.000317032620298848,0.00109813162529484,0.000340870636302691,0.000130111615761168,0.00162723364601309,0.00073184699897076,0.000153535125654416,0.000928795762728606
"All","2",-0.000171833734134689,-0.000292124248680225,-0.000292406460525091,-0.00104209585697309,-0.000284047371712731,-0.000281770756715076,-0.000238806688073058,-0.00102452124177763
"All","3",0.00038722567477781,-0.000154416982328075,-0.000146202712607613,0.000807342684491894,-0.000117090731935888,-0.000889419987756585,0.000168887778892656,0.000920333842709413
"All","4",0.000348343524925778,0.0017949019671582,0.00122247167720556,0.00219231766446653,0.00209870693880676,0.000684213450167984,0.00128115864460243,0.00167491936699798
"All","5",0.000330363716615205,-0.000587156763136634,-0.000635352952456242,-0.00062839528096687,-0.00043939525896033,0.000982582001326137,-0.000267637221646359,-0.00024287659568356
"C","11",0.000927784408370709,0.00195539365321801,0.000530059275965705,0.00175723606704699,0.00148719770307736,2.13352328274746e-05,-0.000103476106245127,0.00244745544606569
"C","12",0.00322619383361717,0.000170741087250422,0.00380488260493383,0.00322609611592324,0.000427248753117168,0.00215136678190668,0.00296514125886243,0.00284988265590535
"C","1",0.000280896001492437,0.00144127370263318,-0.00159275467908825,-0.00240894006347216,0.00345252654676864,0.0020331777780202,0.00106239569244992,0.00302505870032547
"C","2",0.000309333362991034,-0.00116723429142408,-0.00116776401813645,-0.00416968166179657,-0.00113507484733626,-0.00205422996779893,-0.000963113276436417,-0.0041009848008597
"C","3",0.00207596871395097,-0.000799365535092374,-0.000803236112172435,0.00304235874656345,-0.000568031015627565,-0.00333150112629354,-0.000116474179030336,0.00348155046743897
