"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA"
1980,9564.62877149918,9562.82210848591,9561.47086495868,9561.63697538854,9561.63701411562,9561.65322448782,9561.5980686286
1981,7709.34965465893,7711.41179274808,7711.57061374184,7711.55903833476,7711.55876885445,7711.56040955201,7711.51339506879
1982,7918.78316827781,7816.19200071411,7770.77498182723,7774.5570414739,7774.55854406814,7785.53232098345,7810.56105229931
1983,10890.0787113977,10645.4915340611,10485.1785484171,10495.686703343,10495.6538250312,10514.2517965136,10558.4377279314
1984,10810.8843097707,10627.8883931138,10424.021165841,10434.0167599189,10433.9393393153,10439.0563474411,10452.3158523817
1985,9599.74460575679,9482.99623448199,9266.67625241847,9270.43829551068,9270.37322786809,9268.0024687898,9261.2942017708
1986,7931.85308613339,7788.42931907923,7538.79546566649,7535.35257274461,7535.51214465569,7530.71907095981,7539.71169925961
1987,9411.3654111745,9342.44858448419,8964.08321610391,8986.76757478309,8986.87160904264,8980.85578132399,9022.82439682792
1988,14673.74537404,14663.7549842882,14242.9726362124,14303.3800608596,14303.4360094678,14306.2054115125,14379.2827536405
1989,13074.9181519755,12991.3379818109,12900.9843586528,12943.5134332417,12943.962563308,12949.5000724511,13020.3318814641
1990,8387.42408701834,8187.12895426872,8205.87607443212,8222.06657037173,8223.00740146682,8245.19480377593,8271.77384278606
1991,9158.90885072414,8793.51656218668,8642.74045632147,8691.72574277929,8693.52658104811,8735.10580811349,8747.96510268579
1992,10624.920114997,10110.6383307346,9941.88805935482,10092.1604424385,10142.841840172,10131.2048690236,10194.7945592147
1993,11433.2078079148,10877.5132954111,10761.5764147222,10950.1631326495,11087.6566035565,10974.8802112594,11049.3694313842
1994,13273.8461353804,12806.8964745483,12710.3338731627,12792.33492773,12884.900626732,12765.5985588006,12809.5997358783
1995,11931.7083352402,11652.9296624676,11567.6826639783,11566.8432632565,11537.391219828,11504.7792578357,11539.3073250938
1996,9733.53800525806,9501.11188811927,9434.24075403467,9439.00487909417,9404.65347306387,9407.9163641535,9437.29149793861
1997,13288.657713195,12945.0323246065,12790.9149525982,12795.9968474305,12797.3129342454,12791.6776507019,12803.7521350776
1998,14596.4236931106,14269.0206819961,14080.9621685634,14076.9973873335,14077.5572094666,14076.2674940099,14074.1229567846
1999,12914.5073938282,12707.0233479399,12611.2777371941,12610.9644587386,12613.2018493843,12613.685051944,12612.6220221933
