"Year","EXP1","EXP3","NAA","Alt2wTUCPwoVA","Alt2woTUCPwoVA","Alt2woTUCPDeltaVA","Alt2woTUCPAllVA","Act5"
1980,14889.2364573294,14887.4297943161,14886.0785507889,14886.2410586546,14886.2416693448,14886.2587591278,14886.20381154,14886.0558974694
1981,13041.0448209174,13044.7237680898,13044.8825890835,13044.8703503278,13044.8712194201,13044.8752104631,13044.8260337706,13044.8246929425
1982,13241.7740450248,13139.1828774611,13093.7658585742,13097.4903692616,13097.5090419578,13108.4140726057,13133.9910953348,13132.2701105103
1983,16213.0695881446,15968.4824108081,15808.1694251641,15818.6831054575,15818.7313282463,15838.0771032838,15883.2883316781,15881.1651479393
1984,16135.4919956009,15952.4960789441,15748.6288516712,15758.8003871862,15758.8503260668,15765.6536031898,15779.3393308818,15780.5688039287
1985,14933.0565810985,14816.3082098237,14599.9882277602,14603.867890364,14603.9147979848,14602.4093359192,14595.7003824039,14596.6756112826
1986,13254.8439628804,13111.4201958262,12861.7863424135,12860.8706541342,12861.1086479391,12856.4539994602,12865.5289564399,12856.4171128631
1987,14743.0605774329,14675.7605598259,14297.3951914456,14337.7737875635,14338.2076077873,14331.3202554691,14365.2410448604,14291.038006284
1988,20008.419412561,19998.4290228092,19576.284611554,19663.8731514839,19664.1200393419,19665.8184433232,19722.6361240893,19602.1151227416
1989,18408.2301273172,18324.6499571526,18234.2963339945,18288.9059768921,18288.976876629,18304.8829653463,18357.6787416049,18308.115916668
1990,13716.1179623866,13517.1848928163,13535.9320129797,13551.4936927548,13551.5745301002,13593.3998272828,13604.4514866668,13658.8072863565
1991,14492.2208260658,14126.8285375284,13976.0524316631,14018.939403951,14018.0606307303,14067.6806039809,14075.1675116122,14173.9192191729
1992,15958.2320903387,15443.9503060763,15275.2000346965,15453.9207443207,15397.1877824947,15457.4606486265,15493.8888111271,15511.2211425917
1993,16757.815493745,16202.1209812413,16086.1841005524,16380.6784562253,16237.8202266741,16312.5521663484,16331.2512957351,16248.9457405847
1994,18607.1581107221,18141.5705130693,18043.6458485043,18215.6246705491,18118.5645139872,18117.7326912791,18115.7393888266,18082.6417957427
1995,17254.6992119872,16975.9205392146,16890.6735407253,16892.2894200718,16903.4323205479,16837.622268539,16841.818955467,16871.8261981876
1996,15056.528882005,14825.7195739495,14757.2316307817,14745.5291244706,14765.7048929936,14728.6352364802,14747.3250643436,14755.9334509122
1997,18617.8834989986,18269.6400104368,18115.5226384285,18122.4586070729,18121.1860719621,18111.9872948423,18125.4653663253,18137.9530391881
1998,19919.4145698576,19592.0115587431,19403.9530453103,19403.586954728,19403.2440818261,19400.936210019,19398.4740931414,19435.5566114596
1999,18239.1150796584,18031.6310337702,17935.8854230243,17939.8210139412,17938.7886566235,17940.7280109137,17937.8909128931,17962.7598135476
