"watershed","order","regulated","dynam","grp","DiversityGroup","spwnDecay","rearDecay","srpop","hatchery"
"Upper Sacramento River",1,1,"D",1,2,0.973647181,0.987175243,0,0
"Antelope Creek",2,0,"I",2,3,0.994949237,0.997487405,1,0
"Battle Creek",3,0,"I",2,2,0.994949237,0.997487405,1,1
"Bear Creek",4,0,"ST",3,2,0.994949237,0.997487405,0,0
"Big Chico Creek",5,0,"ST",3,3,0.994949237,0.997487405,0,0
"Butte Creek",6,0,"I",2,3,0.994949237,0.997487405,1,0
"Clear Creek",7,1,"D",1,1,0.973647181,0.987175243,1,0
"Cottonwood Creek",8,0,"D",1,1,0.973647181,0.987175243,0,0
"Cow Creek",9,0,"D",1,2,0.973647181,0.987175243,0,0
"Deer Creek",10,0,"I",2,3,0.994949237,0.997487405,1,0
"Elder Creek",11,0,"ST",3,1,0.994949237,0.997487405,0,0
"Mill Creek",12,0,"I",2,3,0.994949237,0.997487405,1,0
"Paynes Creek",13,0,"ST",3,3,0.994949237,0.997487405,0,0
"Stony Creek",14,1,"ST",3,1,0.994949237,0.997487405,0,0
"Thomes Creek",15,0,"I",2,1,0.994949237,0.997487405,0,0
"Upper-mid Sacramento River",16,0,"",7,6,0.989793782,0.994949237,0,0
"Sutter Bypass",17,0,"",8,NA,0.989793782,0.994949237,0,0
"Bear River",18,0,"ST",4,5,0.979148362,0.989793782,0,0
"Feather River",19,1,"ST",4,5,0.979148362,0.989793782,1,1
"Yuba River",20,1,"ST",4,5,0.979148362,0.989793782,1,0
"Lower-mid Sacramento River",21,0,"",7,6,0.989793782,0.994949237,0,0
"Yolo Bypass",22,0,"",8,NA,0.989793782,0.994949237,0,0
"American River",23,1,"ST",4,5,0.979148362,0.989793782,0,1
"Lower Sacramento River",24,0,"",7,6,0.989793782,0.994949237,0,0
"Calaveras River",25,1,"ST",5,4,0.962256359,0.981853233,0,0
"Cosumnes River",26,0,"ST",5,5,0.962256359,0.981853233,0,0
"Mokelumne River",27,1,"ST",5,5,0.962256359,0.981853233,0,1
"Merced River",28,1,"I",6,4,0.989793782,0.994949237,0,1
"Stanislaus River",29,1,"I",6,4,0.989793782,0.994949237,0,0
"Tuolumne River",30,1,"I",6,4,0.989793782,0.994949237,0,0
"San Joaquin River",31,0,"",7,6,0.989793782,0.994949237,0,0
