"WYT","Month","ALT1","ALT2 v1 wTUCP","ALT2 v1 woTUCP","ALT2 v2 noTUCP","ALT2 v3 noTUCP","ALT3","ALT4"
"All","1",3.89970917107711,3.3238874997654,2.99678598694709,2.4825651929512,4.29533455475618,11.5698447497952,2.95140708995078
"All","2",3.05704507074101,0.136975668732741,0.286508512591948,0.145484071363909,1.08566208225303,1.57133298864458,2.14440371695532
"All","3",1.27513271512299,-0.627514368917223,1.86364421580499,-0.56800845826476,-1.06899355132204,0.55553038911688,0.32034004403844
"All","4",17.450654842786,-2.04880148338549,-0.747626738702089,-1.89865604158906,3.74677393213131,-0.0471074591860872,-0.275348829639809
"All","5",1.20745052959886,-7.05809492749474,-7.11968387313131,-5.82550647010621,-6.16679088814177,41.7437817527208,-3.80303206733467
"All","6",15.8999159478066,-3.47797288936727,-4.99926879290091,-3.22623484486433,-19.4974227336338,-29.5815743418116,-1.54677891321108
"All","7",-0.0908620356917814,-3.33040431064024,-5.92983446699534,-3.30133530633224,-5.43141875526472,-9.09820943983186,0.313201835489095
"All","8",-30.0389876759623,-6.74629152220902,-6.76249327627464,-1.97590426103181,-6.77578137118607,25.617516749974,-13.9736725500627
"All","9",-30.6129352862561,8.62659072007696,7.79685972467288,12.102170156436,14.9486440152528,8.7868111604155,-23.6232502901275
"All","10",4.36040601287236,2.95721574631992,0.446820111232636,-1.03690503817613,-1.2527462697056,9.48951616788607,-0.981887084852383
"All","11",60.4338218006774,1.5439713061009,10.4786545753567,-6.6933429664074,9.00115618894131,41.1518172279143,16.6164386127439
"All","12",5.61201555922187,2.18731161594001,2.16466535249669,3.61937737132352,3.68219256965394,7.24362637685451,5.9659007617805
