"WYT","Month","ALT1","ALT2 v1 wTUCP","ALT2 v1 woTUCP","ALT2 v2 noTUCP","ALT2 v3 noTUCP","ALT3","ALT4"
"All","1",-0.900676087294071,-1.8882959698864,-1.94553462208812,-0.871712548681513,-1.7862661695029,-3.04020460208973,-1.06835287672737
"All","2",-0.403024165358266,-0.304082259263759,-0.747260589315441,0.231060039413266,-1.02815246771997,-0.917888574953099,-0.616543282547482
"All","3",0.392085053529466,-0.806416786463492,-0.423931438304677,-1.00618193274226,-0.756802751227155,-0.706906483085018,-0.395147672376592
"All","4",-0.030427913656748,-0.289535688044449,0.386119910490923,0.13397810451485,-2.74650481072709,3.31928802968177,-0.77719946579162
"All","5",-1.48744281983379,0.845956041298358,1.2540431054483,0.888362555835314,-0.239073731807381,-2.7213200205215,0.69703798086004
"All","6",-4.82587283892713,1.5723333670891,2.35664400514502,1.75229368389161,6.48171739063777,11.3839652362977,0.404076464363531
"All","7",0.695572185539913,2.70918667245282,5.35536933477505,1.87642269871526,2.8908714057706,7.93882138071084,2.64229540507385
"All","8",5.72216889144277,2.15970415717197,1.31206236891323,2.32809172538981,2.94856243275118,-5.52158459571097,2.37249479262251
"All","9",3.49447203398022,-0.517142076872733,-1.2078598939862,-0.363791037534913,-0.401855473928147,3.28492831091861,3.93156568132468
"All","10",-0.164865255566578,-0.533408820131719,-1.26334714178189,-1.12799277284371,-0.67064584836262,0.0702957146494802,0.568411053173348
"All","11",2.34385878618573,-2.04175686624934,-1.79176257447897,-1.88116854184062,-1.95042326593145,0.752622004590647,-2.97303032076354
"All","12",-0.908983860912374,-0.935238561644823,-0.945981742308487,-0.824023923953775,-0.801900832811119,-1.93281230971394,-2.61278209517342
