"WYT","Month","NAA","ALT1","ALT2 v1 wTUCP","ALT2 v1 woTUCP","ALT2 v2 noTUCP","ALT2 v3 noTUCP","ALT3","ALT4"
"All","1",11.423830524077,7.97515755824809,12.6098269998761,12.6141953872099,12.6100595242843,12.6103205273352,12.5852632169527,12.6097112527528
"All","2",13.0648299819256,8.89648198272111,12.9029696594734,12.904029793271,12.9029696594734,12.9029696594734,13.0327338885667,12.9017453891915
"All","3",11.7665649104893,8.59381619821467,12.613778537022,12.613778537022,12.613778537022,12.613778537022,12.7663812840194,12.613778537022
"All","4",11.2281392862932,7.71367875272144,11.696121738304,11.696121738304,11.696121738304,11.696121738304,11.8427225032365,11.696121738304
"All","5",10.4461512752456,6.32758296564484,11.7674486648177,11.7674486648177,11.7674486648177,11.7674486648177,11.92415087485,11.7674486648177
"All","6",11.9749488263154,5.2220794941256,10.2112376505273,10.171019212261,10.2112376505273,10.2112376505273,10.3506557928193,10.171019212261
"All","7",8.36346626190215,4.70521049383003,7.16497387407829,7.12543103479438,7.13648565896111,7.13648565896111,7.13521027848128,7.1254310347944
"All","8",8.2443619780061,4.56218029056327,7.21500220231747,7.25394378037701,7.21500220231747,7.21500220231747,6.57106458004702,7.21500220231747
"All","9",8.1278561074078,4.47207465195018,7.61488719699487,7.67576170710523,7.64875893435028,7.64875893435026,7.17920361048118,7.68798897511369
"All","10",9.31034696590855,4.58295122629448,8.68214264996343,8.71678151351813,8.68186986900402,8.68417666164911,8.46733266112785,8.72632377345309
"All","11",9.61646433754011,6.99450572411721,10.1214625453401,10.1816049283607,10.1214625453401,10.1214625453401,10.0103052239739,10.1802835956833
"All","12",10.8886063784179,8.61061884600099,11.851445408139,11.9061041470314,11.851124262775,11.8498725461229,11.7784698482587,11.8462070579188
